longitude,latitude
-39.308965,-12.991082
-38.968889,-13.122222
-38.378496,-12.796697
-35.2325,-7.096389
-44.142384,-23.146046
-44.990816,-21.347
-42.941488,-20.423369
-46.686592,-23.333824
-43.006388,-20.596995
-44.610781,-23.300735
-39.001977,-15.107717
-38.005353,-11.879504
-39.09047,-14.103445
-39.012401,-16.365624
-51.961533,-21.256697
-42.872314,-20.233205
-35.581562,-9.282227
-34.820592,-7.605987
-36.276623,-10.11196
-35.869601,-9.79192
-36.365317,-9.568675
-36.448571,-9.539047
-35.735668,-9.443112
-39.105156,-15.176492
-44.139041,-19.907419
-41.468495,-20.678316
-36.610277,-10.345526
-38.888892,-15.90273
-45.038942,-23.362826
-47.370228,-21.932532
-42.508056,-19.857222
-50.773538,-23.722557
-34.976944,-6.502222
-43.833333,-20
-44.833411,-23.362283
-39.755,-16.568
-37.5125,-11.557778
-39.403908,-12.974384
-37.883333,-12.383333
-50.160757,-25.400374
-38.61917,-12.648907
-38.303611,-12.813611
-39.033333,-13.483333
-39.014316,-15.690736
-46.358407,-23.524784
-45.037306,-21.661881
-34.834031,-7.734425
-42.985222,-21.216722
-40.473599,-20.635557
-42.62044,-19.766923
-40.760292,-16.14217
-42.858776,-20.803501
-42.577457,-19.591131
-44.813812,-22.922649
-36.409542,-9.805081
-35.983247,-9.5995
-36.550342,-10.491211
-36.321606,-10.159258
-43.488688,-18.574101
-39.333333,-17.183333
-39.151667,-14.024444
-39.08502,-16.304296
-47.599031,-21.725323
-35.156944,-6.102222
-37.571094,-11.513091
-49.3163889,-20.7080556
-38.6,-12.95
-43.109821,-22.760151
-35.549169,-9.132778
-38.42,-12.951667
-43.137783,-19.799953
-42.438333,-19.513889
-38.733333,-12.433333
-39.516667,-12.933333
-35.50735,-8.714591
-48.416667,-23.45
-43.365,-20.284167
-48.644601,-24.697331
-36.581925,-10.287233
-38.114727,-11.925093
-47.523116,-23.585573
-49.628233,-21.02583
-35.174444,-8.648611
-35.345142,-8.57402
-47.193959,-23.283875
-34.984866,-8.316122
-35.134722,-6.604722
-37.702778,-11.619444
-50.866044,-23.589655
-43.599444,-18.574167
-40.793056,-14.848333
-43.497119,-18.483965
-44.100906,-21.488006
-48.585389,-23.710853
-43.559944,-18.927222
-51.338663,-20.398735
-47.202128,-23.107813
-45.095737,-22.720997
-35.856377,-8.694603
-35.806185,-9.337267
-36.231625,-9.740247
-39.156396,-13.776822
-40.473056,-20.059167
-35.414333,-8.697666
-39.266944,-14.47
-39.116667,-14.683333
-39.56169,-16.553624
-44.443475,-22.877868
-36.232211,-9.332981
-36.280919,-10.013889
-39.483038,-15.388716
-39.090103,-15.545786
-35.063056,-8.233778
-39.731944,-14.176389
-39.835278,-18.4325
-39.661222,-13.84725
-39.083333,-12.533333
-39.06666,-15.1
-35.196986,-8.823566
-36.434584,-10.315288
-42.780639,-15.814444
-49.819779,-21.457214
-35.7528,-9.665828
-44.70272,-21.468528
-39.0916,-16.5555
-39.114816,-16.479547
-44.868,-21.1
-44.180806,-21.087083
-46.722014,-23.503061
-44.937144,-21.438192
-43.63231,-20.369625
-37.889444,-11.768333
