species,barcode,collector_number,hypathium_height,hypathium_openning,petal_length,petal_width,major_filet_height,major_filet_width,major_anther_height,major_anther_width,minor_filet_height,minor_filet_width,minor_anther_height,minor_anther_width,style_height,stigma_width,pore_long_section,pore_trans_section,pore_area,plant_height
albicans,upcb0015799,Haas_106,2.82,3.2,NA,NA,2.52,0.17,3.4,0.46,1.31,0.17,2.93,0.47,4.4,1.02,0.17,0.14,0.0187,NA
albicans,upcb0042394,Faria_26,2.23,2.97,NA,NA,1.54,0.14,2.56,0.48,1.17,0.09,2.12,0.47,2.12,1,0.22,0.2,0.0345,NA
albicans,upcb0015808,Gatti_37,3.19,3.03,NA,NA,3.42,0.16,2.91,0.62,2.41,0.18,2.04,0.5,2.65,0.72,0.26,0.12,0.0245,0.7
albicans,upcb0015813,Hatschbach_69569,2.63,2.86,NA,NA,2.22,0.18,2.67,0.56,1.99,0.22,2.33,0.53,3.41,1.18,0.23,0.14,0.0253,1.5
alborufescens,upcb0030623,Silva_6161,2.58,2.87,NA,NA,2.43,0.14,2.44,0.4,2.11,0.11,2.06,0.43,3.09,0.41,0.2,0.17,0.0267,NA
alborufescens,upcb0016682,Zappi_upcb0016682,1.96,2.32,NA,NA,2.01,0.12,2.42,0.46,1.73,0.17,2.13,0.4,2.5,0.34,0.22,0.26,0.0449,1
alborufescens,upcb0016589,Cavalcanti_upcb0016589,2.96,2.77,NA,NA,1.91,0.15,3.05,0.45,1.9,0.17,2.26,0.46,2.56,0.35,0.23,0.17,0.0307,1.2
alborufescens,upcb0016604,Nogueira_upcb0016604,2.09,2.58,NA,NA,1.9,0.15,3.09,0.53,1.51,0.18,2.25,0.37,2.66,0.47,0.17,0.13,0.0173,1
amnicola,ny01796268,Schunke_158,2.94,2.96,3.41,1.66,3.55,0.22,3.5,0.6,3.28,0.16,2.86,0.5,5.35,0.78,0.27,0.14,0.0297,3
amnicola,ny01796267,Little_9683,3.2,2.4,2.55,1.44,1.57,0.14,2.71,0.39,1.11,0.1,2.14,0.54,3.95,0.6,0.2,0.17,0.0267,6
argyrophylla,upcb0016556,CarvalhoSobrinho_1653,1.27,1.51,NA,NA,1.56,0.14,2.02,0.24,1.09,0.1,1.47,0.22,3.4,0.28,0.14,0.11,0.0121,2.5
argyrophylla,upcb0016555,Hatschbach_11366,2.5,2.15,NA,NA,3.49,0.12,3.32,0.45,2.42,0.15,2.51,0.53,5.23,0.95,0.14,0.19,0.0209,NA
argyrophylla,ny1653013,Cotton_1566,2.14,2.63,2.85,1.32,1.95,0.13,2.43,0.65,1.86,0.15,2.01,0.54,3.49,0.55,0.23,0.19,0.0343,5.5
argyrophylla,ny00987126,Rosa_4330,2.16,1.86,1.35,1.4,2.44,0.2,2.24,0.44,1.47,0.11,1.69,0.3,3.84,0.54,0.18,0.14,0.0198,10
argyrophylla,ny03908005,Gonzales_1186,2.39,2,2.18,1.13,2.67,0.14,2.9,0.44,1.86,0.12,2.01,0.44,4.63,0.63,0.11,0.14,0.0121,9
budlejoides,upcb0016747,Torres_755,2.89,2.57,NA,NA,2.6,0.19,2.35,0.47,2.59,0.2,2.01,0.35,2.37,0.42,0.32,0.32,0.0804,2.3
budlejoides,flor0018792,Bresolin_954,2.25,2.47,NA,NA,2.76,0.14,2.8,0.65,2.06,0.12,1.93,0.36,3.1,0.52,0.35,0.23,0.0632,8
budlejoides,upcb0016817,Valente_420,2.04,2.47,NA,NA,2.2,0.15,2.2,0.44,2.08,0.13,2.03,0.48,1.83,0.28,0.28,0.26,0.0571,NA
burchellii,ny01019039,Delprete_8968,2.52,2.85,4.46,2.14,2.21,0.21,3.13,0.4,1.59,0.17,2.62,0.43,3.25,0.72,0.2,0.27,0.0424,3
burchellii,ny00916913,Santose_24278,2.51,2.8,3.48,2.14,1.51,0.17,2.91,0.64,1.2,0.14,2.54,0.59,2.86,0.7,0.22,0.3,0.0518,NA
burchellii,ny00748864,Filgueiras_3088,2.45,2.97,4.3,1.9,2.38,0.13,3.39,0.57,1.78,0.11,3.19,0.45,3.3,0.85,0.23,0.29,0.0524,3
capixaba,ny01015412,Goldenberg_907,1.64,1.85,1.54,0.97,1.15,0.11,1.14,0.35,0.92,0.1,1.04,0.33,1.81,0.21,0.09,0.16,0.0113,4
castaneiflora,ny00521282,Altamiro_63,1.81,1.79,1.74,1.05,1.78,0.11,1.86,0.38,2.05,0.09,1.71,0.4,1.52,0.14,0.24,0.25,0.0471,NA
castaneiflora,ny01081547,Jung_372,1.38,1.81,2.18,1.22,1.37,0.15,1.36,0.33,1.44,0.13,1.11,0.34,1.78,0.3,0.27,0.18,0.0382,NA
chrysophylla,ny00521282,Valenzuela_9953,1.62,1.98,1.96,0.92,1.77,0.08,1.33,0.41,0.95,0.09,1.25,0.39,1.58,0.47,0.64,0.2,0.1005,30
chrysophylla,ny3270863,Krukoff_10337,1.42,1.77,1.73,1,1.46,0.1,1.17,0.47,1.77,0.08,1.14,0.3,2.25,0.34,0.21,0.43,0.0709,6
