spp_points.species,spp_alt_values
albicans,731
albicans,461
albicans,170
albicans,494
albicans,164
albicans,823
albicans,553
albicans,280
albicans,374
albicans,1500
albicans,171
albicans,313
albicans,1508
albicans,250
albicans,490
albicans,1005
albicans,498
albicans,198
albicans,210
albicans,349
albicans,997
albicans,69
albicans,941
albicans,189
albicans,617
albicans,185
albicans,996
albicans,1264
albicans,916
albicans,745
albicans,274
albicans,913
albicans,837
albicans,583
albicans,833
albicans,487
albicans,42
albicans,134
albicans,818
albicans,34
albicans,781
albicans,158
albicans,430
albicans,490
albicans,1198
albicans,53
albicans,267
albicans,90
albicans,60
albicans,821
albicans,278
albicans,219
albicans,12
albicans,75
albicans,859
albicans,809
albicans,743
albicans,884
albicans,59
albicans,20
albicans,48
albicans,981
albicans,76
albicans,36
albicans,132
albicans,21
albicans,547
albicans,1033
albicans,190
albicans,108
albicans,1160
albicans,472
albicans,103
albicans,104
albicans,96
albicans,656
albicans,780
albicans,199
albicans,494
albicans,483
albicans,798
albicans,999
albicans,545
albicans,36
albicans,59
albicans,902
albicans,9
albicans,500
albicans,675
albicans,393
albicans,473
albicans,645
albicans,903
albicans,1171
albicans,542
albicans,554
albicans,63
albicans,173
albicans,482
albicans,108
albicans,250
albicans,479
albicans,106
albicans,583
albicans,256
albicans,648
albicans,70
albicans,16
albicans,8
albicans,7
albicans,109
albicans,51
albicans,801
albicans,101
albicans,1189
albicans,162
albicans,549
albicans,822
albicans,27
albicans,1270
albicans,291
albicans,138
albicans,27
albicans,841
albicans,893
albicans,675
albicans,363
albicans,900
albicans,1175
albicans,772
albicans,775
albicans,20
albicans,165
albicans,747
albicans,734
albicans,864
albicans,712
albicans,7
albicans,79
albicans,171
albicans,89
albicans,19
albicans,1462
albicans,840
albicans,126
albicans,31
albicans,244
albicans,299
albicans,417
albicans,31
albicans,35
albicans,754
albicans,696
albicans,642
albicans,455
albicans,858
albicans,272
albicans,71
albicans,209
albicans,30
albicans,39
albicans,583
albicans,21
albicans,128
albicans,16
albicans,776
albicans,100
albicans,97
albicans,47
albicans,339
albicans,140
albicans,133
albicans,238
albicans,335
albicans,57
albicans,657
albicans,338
albicans,857
albicans,600
albicans,881
albicans,628
albicans,45
albicans,17
albicans,24
albicans,445
albicans,93
