species,longitude,latitude
albicans,-60.73722,-14.51972
albicans,-64.12,4.45
albicans,-59.25,-18.66666
albicans,-49,-22
albicans,-61.53333,-13.66666
albicans,-60.39972,-14.80388
albicans,-54.9153972,-9.0949088
albicans,-55.2167,4.88333
albicans,-61.81333,-16.76861
albicans,-78.83333,-4.91666
albicans,-61.49055,-13.72277
albicans,-53.416766,-13.018486
albicans,-75.066667,6.916667
albicans,-66.5,6.3
albicans,-59.5716667,-18.3280556
albicans,-48.05,-16.05
albicans,-60.81277,-13.89861
albicans,-68.7,-12.5666667
albicans,-68.912844,-12.951867
albicans,-63.68472,-17.45138
albicans,-42.353889,-13.974722
albicans,-63.00046,-8.00035
albicans,-48.205833,-18.948889
albicans,-61.260952,-14.509068
albicans,-46.51361,-11.63917
albicans,-41.669869,-4.107989
albicans,-44.3527793884,-21.4727802277
albicans,-43.716667,-18.116667
albicans,-43.333333,-18.116667
albicans,-43.559944,-18.927222
albicans,-42.567043,-19.715495
albicans,-46.336647,-14.817527
albicans,-45.919167,-15.408056
albicans,-48.903855,-15.043613
albicans,-46.836857,-18.111212
albicans,-41.143056,-12.34
albicans,-56.036465,-4.241979
albicans,-52.210331,-3.198617
albicans,-48.510088,-22.835955
albicans,-39.202222,-16.419167
albicans,-50.056458,-16.029887
albicans,-57.516667,-7.583333
albicans,-52.1919444,-15.7838889
albicans,-47.225277,-12.814722
albicans,-43.894807,-20.087486
albicans,-67.41666,6.41666
albicans,-66.8855555,10.1583333
albicans,-57.00362,-19.451855
albicans,-51.776652,-3.129809
albicans,-45.416667,-20.216667
albicans,-60.729085,-17.77189
albicans,-39.308965,-12.991082
albicans,-38.968889,-13.122222
albicans,-38.378496,-12.796697
albicans,-46.032975,-20.658889
albicans,-48.387402,-19.171123
albicans,-47.677574,-18.046231
albicans,-40.502861,-11.332305
albicans,-34.9075,-7.26
albicans,-34.863056,-7.115
albicans,-34.855056,-7.367861
albicans,-43.633333,-18.116667
albicans,-34.941667,-7.941667
albicans,-35.671995,-9.587349
albicans,-44.142384,-23.146046
albicans,-39.062855,-13.33704
albicans,-60.040379,-12.937051
albicans,-44.990815,-21.346
albicans,-88.448289,16.784325
albicans,-40.766427,-19.479637
albicans,-48.011053,-15.900671
albicans,-48.158864,-22.657802
albicans,-59.928189,-2.95488
albicans,-51.595106,0.926847
albicans,-66.937636,2.669895
albicans,-48.46124,-14.601021
albicans,-45.857564,-15.233974
albicans,-39.329646,-13.308607
albicans,-42.941488,-20.423369
albicans,-44.712363,-15.606684
albicans,-46.686592,-23.333824
albicans,-78.486923,-3.406097
albicans,-88.967374,16.953071
albicans,-88.346603,16.905385
albicans,-35.102563,-6.796356
albicans,-47.814472,-13.533399
albicans,-52.952039,5.372693
albicans,-48.060458,-22.752446
albicans,-43.006388,-20.596995
albicans,-45.215077,-7.907511
albicans,-51.851332,-20.064783
albicans,-49.27999,-14.396166
albicans,-48.283459,-18.526441
albicans,-44.607222,-22.434167
albicans,-41.943889,-21.963333
albicans,-44.610781,-23.300735
albicans,-37.86789,-11.721737
albicans,-36.313219,-9.783164
albicans,-67.427438,-15.51753
albicans,-39.22622,-15.480955
albicans,-45.118209,-23.413521
albicans,-48.326004,-22.683546
albicans,-64.699902,-9.32963
albicans,-60.244452,-12.719034
albicans,-60.822026,-13.16987
albicans,-47.431955,-22.019483
albicans,-60.90446,2.49451
albicans,-48.106822,-0.865652
albicans,-48.514477,-0.70849
albicans,-51.053432,0.136899
albicans,-64.526698,-9.298774
albicans,-42.908686,-22.535234
albicans,-47.903758,-22.29307
albicans,-44.851572,-23.356232
albicans,-43.900922,-21.960606
albicans,-57.52944,-18.098629
albicans,-60.163278,4.609399
albicans,-46.542865,-18.53353
albicans,-39.001977,-15.107717
albicans,-72.594685,-12.77562
albicans,-51.780276,-20.97377
albicans,-38.005353,-11.879504
albicans,-38.030924,-12.576073
albicans,-48.407654,-22.943442
albicans,-47.870058,-22.013677
albicans,-47.964346,-23.484015
albicans,-39.177801,-7.237598
albicans,-79.084537,-5.005
albicans,-44.262151,-17.698034
albicans,-43.956776,-19.659781
albicans,-67.942452,-15.539926
albicans,-48.192037,-1.982076
albicans,-49.286086,-8.23704
albicans,-44.603048,-12.233633
albicans,-43.959443,-19.561096
albicans,-43.684013,-19.179884
albicans,-48.748004,-22.819429
