species,threshold,accuracy,sensitivity,specificity,tss
albicans,0.05,0.773800157356412,0.229007633587786,0.873429502093997,0.102437135681783
albicans,0.25,0.643587726199843,0.501272264631043,0.669613773848302,0.170886038479345
albicans,0.5,0.493705743509048,0.791348600508906,0.439274080967892,0.230622681476798
albicans,0.75,0.360739575137687,0.910941475826972,0.260120986505351,0.171062462332323
albicans,0.95,0.245869394177813,0.979643765903308,0.111679851093532,0.0913236169968398
albicans,0.05,0.772619984264359,0.170483460559796,0.882736156351791,0.0532196169115879
albicans,0.25,0.639653815892998,0.478371501272265,0.669148441135412,0.147519942407676
albicans,0.5,0.485444531864674,0.791348600508906,0.429502093997208,0.220850694506114
albicans,0.75,0.343430369787569,0.94910941475827,0.232666356444858,0.181775771203128
albicans,0.95,0.225806451612903,0.987277353689567,0.0865518845974872,0.0738292382870547
albicans,0.05,0.786388670338316,0.16030534351145,0.90088413215449,0.0611894756659409
albicans,0.25,0.642407553107789,0.442748091603053,0.678920428106096,0.121668519709149
albicans,0.5,0.509834775767113,0.725190839694656,0.470451372731503,0.195642212426159
albicans,0.75,0.356805664830842,0.933842239185751,0.251279664960447,0.185121904146197
albicans,0.95,0.253343823760818,0.987277353689567,0.119125174499767,0.106402528189335
alborufescens,0.05,0.919621026894866,0.155555555555556,0.930275797954757,0.0858313535103123
alborufescens,0.25,0.777200488997555,0.511111111111111,0.780911062906725,0.292022174017836
alborufescens,0.5,0.606356968215159,0.622222222222222,0.606135729779981,0.228357952002204
alborufescens,0.75,0.437347188264059,0.755555555555556,0.432909823365355,0.18846537892091
alborufescens,0.95,0.274449877750611,0.933333333333333,0.265261853114348,0.198595186447681
alborufescens,0.05,0.916845001528585,0.159090909090909,0.927176944530524,0.0862678536214328
alborufescens,0.25,0.781412412106389,0.477272727272727,0.785559343043074,0.262832070315801
alborufescens,0.5,0.560684805869765,0.886363636363636,0.55624418964983,0.442607826013466
alborufescens,0.75,0.386731886273311,0.977272727272727,0.378679888441277,0.355952615714004
alborufescens,0.95,0.228064811984103,0.977272727272727,0.217849395723582,0.19512212299631
alborufescens,0.05,0.91320293398533,0.377777777777778,0.920669352339634,0.298447130117412
alborufescens,0.25,0.74419315403423,0.666666666666667,0.745274248528045,0.411940915194711
alborufescens,0.5,0.549205378973105,0.777777777777778,0.546017973349861,0.323795751127638
alborufescens,0.75,0.406479217603912,0.911111111111111,0.399442206383638,0.310553317494749
alborufescens,0.95,0.271393643031785,0.955555555555556,0.261853114347691,0.217408669903247
amnicola,0.05,0.993154761904762,0.4,0.994038748137109,0.394038748137109
amnicola,0.25,0.98125,0.8,0.981520119225037,0.781520119225037
amnicola,0.5,0.930952380952381,1,0.930849478390462,0.930849478390462
amnicola,0.75,0.851488095238095,1,0.851266766020864,0.851266766020864
amnicola,0.95,0.724107142857143,1,0.723695976154993,0.723695976154993
amnicola,0.05,0.992855016373921,0.25,0.993740685543964,0.243740685543964
amnicola,0.25,0.983030663888062,0.5,0.983606557377049,0.483606557377049
amnicola,0.5,0.947008038106579,0.75,0.947242921013413,0.697242921013413
amnicola,0.75,0.88687109258708,0.75,0.887034277198212,0.637034277198212
amnicola,0.95,0.759749925573087,1,0.75946348733234,0.75946348733234
amnicola,0.05,0.994940476190476,0.6,0.995529061102832,0.595529061102832
amnicola,0.25,0.980357142857143,0.6,0.980923994038748,0.580923994038748
amnicola,0.5,0.969047619047619,0.6,0.969597615499255,0.569597615499255
amnicola,0.75,0.931547619047619,0.6,0.93204172876304,0.53204172876304
amnicola,0.95,0.889285714285714,0.6,0.889716840536513,0.489716840536513
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999109263657957,1,0.999108999108999,0.999108999108999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.997327790973872,1,0.997326997326997,0.997326997326997
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999109263657957,1,0.999108999108999,0.999108999108999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.9979216152019,1,0.997920997920998,0.997920997920998
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.9979216152019,1,0.997920997920998,0.997920997920998
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999109263657957,1,0.999108999108999,0.999108999108999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.997624703087886,1,0.997623997623998,0.997623997623998
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999109263657957,1,0.999108999108999,0.999108999108999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.997624703087886,1,0.997623997623998,0.997623997623998
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999109263657957,1,0.999108999108999,0.999108999108999
