species,threshold,accuracy,sensitivity,specificity,tss
albicans,0.05,0.777602937319696,0.186598812553011,0.885683263533426,0.0722820760864373
albicans,0.25,0.641883031733543,0.474130619168787,0.672560881029937,0.146691500198723
albicans,0.5,0.496328350380278,0.769296013570823,0.446409182565534,0.215705196136357
albicans,0.75,0.353658536585366,0.931297709923664,0.248022335970219,0.179320045893883
albicans,0.95,0.241673223183845,0.984732824427481,0.105785636730262,0.0905184611577432
alborufescens,0.05,0.916556320802927,0.230808080808081,0.926040698274972,0.156848779083052
alborufescens,0.25,0.767602018379391,0.551683501683502,0.770581551492615,0.322265053176116
alborufescens,0.5,0.572082384352676,0.762121212121212,0.569465964259891,0.331587176381103
alborufescens,0.75,0.410186097380427,0.881313131313131,0.403677306063423,0.284990437376554
alborufescens,0.95,0.2579694442555,0.955387205387205,0.248321454395207,0.203708659782413
amnicola,0.05,0.993650084823053,0.416666666666667,0.994436164927968,0.411102831594635
amnicola,0.25,0.981545935581735,0.633333333333333,0.982016890213611,0.615350223546945
amnicola,0.5,0.94900267936886,0.783333333333333,0.94923000496771,0.732563338301043
amnicola,0.75,0.889968935624265,0.783333333333333,0.890114257327372,0.673447590660705
amnicola,0.95,0.791047594238648,0.866666666666667,0.790958768007949,0.657625434674615
angelana,0.05,1,1,1,1
angelana,0.25,0.999406175771972,1,0.999405999405999,0.999405999405999
angelana,0.5,0.999175244127738,1,0.999174999174999,0.999174999174999
angelana,0.75,0.998812351543943,1,0.998811998811999,0.998811998811999
angelana,0.95,0.997690683557667,1,0.997689997689998,0.997689997689998
argyrophylla,0.05,0.968737312220869,0.282051282051282,0.976990241397021,0.259041523448303
argyrophylla,0.25,0.847137637028015,0.512820512820513,0.85115562403698,0.363976136857493
argyrophylla,0.5,0.648091758018676,0.794871794871795,0.646327683615819,0.441199478487614
argyrophylla,0.75,0.385505481120585,0.94017094017094,0.378839239856189,0.319010180027129
argyrophylla,0.95,0.175294356475842,0.982905982905983,0.165588084232152,0.148494067138135
atlantica,0.05,0.99433307685135,0.0476190476190477,0.996214385335724,0.0438334329547718
atlantica,0.25,0.97852541722216,0.142857142857143,0.980175333731819,0.123032476588962
