species,altitude
albicans,425
alborufescens,823
amnicola,178.5
angelana,1378
argyrophylla,117
atlantica,663
baumgratziana,690
brunnea,807
budlejoides,665
burchellii,933
capixaba,618
castaneiflora,806.5
chrysophylla,144
cinerascens,771
cipoensis,830.5
corallina,1158.5
cowanii,94
cubatanensis,749.5
cyathanthera,1064
dichrophylla,94.5
discolor,583
dispar,147.5
dura,1320
fallax,621
fasciculata,522
ferruginata,853
flammea,840
formosa,604
heliotropoides,443.5
hyemalis,886.5
hypoleuca,115
kollmannii,730
kriegeriana,1371
lepidota,161.5
longispicata,94
lourteigiana,196
lymanii,891
macrothyrsa,751
macuxi,55.5
mayarae,122
mellina,1003.5
multispicata,313
navioensis,76
octopetala,563
penduliflora,690
pepericarpa,1022
petroniana,1033.5
polyandra,795
pterocaulon,237
punctata,187.5
racemifera,808.5
robusta,1128
rondoniensis,142
rufescens,144
ruficalyx,147
ruschiana,559
sclerophylla,1086
secundiflora,41
serialis,98
setosociliata,1011
shepherdii,1347
stenostachya,573
suberosa,31
tiliifolia,374
valtheri,795
willdenowii,809
