model,llik,aicc,delta_aicc
OUM,51.917653711696,-94.9657422060007,0
OUM,54.0062510515516,-99.1429368857119,0
OUM,52.9393144561953,-97.0090636949992,0
OUM,51.7519158973598,-94.6342665773284,0
OUMA,54.3763267195217,-97.41932010571,0
OUM,53.3900013834677,-97.9104375495441,0
OUM,51.8394971553335,-94.8094290932757,0
OUMA,54.7613803264046,-98.1894273194758,0
OUM,54.4882606104254,-100.10695600346,0
OUM,53.3987971465689,-97.9280290757464,0
OUM,53.8644308786717,-98.8592965399521,0
OUM,53.493662860935,-98.1177605044788,0
OUM,52.2669265173823,-95.6642878173733,0
OUM,53.7031325798157,-98.53669994224,0
OUM,50.9485223198597,-93.0274794223281,0
OUM,48.6452896118814,-88.4210140063714,0
OUM,52.5027475294922,-96.1359298415931,0
OUM,52.5024160129202,-96.1352668084492,0
OUM,50.3992360925039,-91.9289069676164,0
OUM,53.054557746979,-97.2395502765666,0
OUM,53.3229855812131,-97.7764059450348,0
OUM,52.2916684555679,-95.7137716937444,0
OUM,50.229983286362,-91.5904013553328,0
OUM,54.1256212582931,-99.3816772991948,0
OUM,53.566834653238,-98.2641040890848,0
OUM,53.1725940113269,-97.4756228052626,0
OUM,53.1885379884143,-97.5075107594374,0
OUM,49.6224757140897,-90.3753862107881,0
OUM,53.8611998692619,-98.8528345211325,0
OUM,54.1727654243761,-99.4759656313609,0
OUM,53.772720944116,-98.6758766708407,0
OUM,51.8051741576321,-94.7407830978728,0
OUM,49.5673630142468,-90.2651608111023,0
OUM,52.9775350502458,-97.0855048831004,0
OUM,52.8924445696265,-96.9153239218618,0
OUM,52.6354761478842,-96.4013870783772,0
OUM,52.3822220608973,-95.8948789044032,0
OUM,52.4700516027631,-96.0705379881348,0
OUM,53.2432387858626,-97.6169123543339,0.572025867753098
OUM,50.9698134454583,-93.0700616735254,0
OUM,50.1221736819963,-91.3747821466013,0
OUM,50.7154340615797,-92.5613029057681,0
OUM,50.9073594622834,-92.9451537071754,0
OUM,53.9170496126205,-98.9645340078497,0
OUM,53.6498373953393,-98.4301095732873,0
OUM,54.8033527582781,-100.737140299165,0
OUM,51.5451150781721,-94.2206649389529,0
OUM,54.707138906328,-100.544712595265,0
OUM,53.9795349044771,-99.0895045915628,0
OUM,53.6672798425208,-98.4649944676503,0
OUM,51.8740717627789,-94.8785783081665,0
OUM,54.0071925930622,-99.1448199687331,0
OUM,53.2225970791376,-97.5756289408839,0
OUM,53.6152579318266,-98.3609506462618,1.66371521793521
OUM,53.0411082064771,-97.2126511955629,0
OUM,52.5660868591585,-96.2626085009257,0.29243309618451
OUM,55.1707730734582,-101.471980929525,0
OUM,53.4538664527045,-98.0381676880177,0
OUM,55.0609033641345,-101.252241510878,0
OUM,52.4682071045098,-96.0668489916284,0
OUM,53.3099435206944,-97.7503218239976,0
OUM,51.5906372334832,-94.311709249575,0
OUM,54.7206176630151,-100.571670108639,0.955139628569
OUM,55.3231438350313,-101.776722452671,0
OUM,51.8692653480178,-94.8689654786443,0
OUM,53.1926669923967,-97.515768767402,0
OUM,50.1543907276703,-91.4392162379492,0
OUM,52.5111977686573,-96.1528303199232,0
OUM,49.823086927387,-90.7766086373827,0
OUM,51.9491034099977,-95.0286416026041,0
OUM,52.3297604723137,-95.7899557272362,0
OUM,52.4802112011147,-96.0908571848381,0
OUM,54.7658382703735,-100.662111323356,0
OUM,53.0535423170261,-97.2375194166609,0
OUM,53.3553436261599,-97.8411220349284,0
OUM,52.9267189743631,-96.9838727313349,0
OUM,53.9504604060816,-99.0313555947718,0
OUM,53.1553152964646,-97.441065375538,0
OUM,53.5781309616464,-98.2866967059016,0
OUM,53.560603081782,-98.2516409461727,0
OUM,51.8977991373292,-94.9260330572672,0
OUM,53.3192934355025,-97.7690216536137,0
OUM,55.1570004776404,-101.44443573789,0
OUM,52.0429874763412,-95.2164097352912,0
OUMA,56.9026757996733,-102.472018266013,0
OUM,51.5068400929216,-94.1441149684518,0
OUM,52.2591863798833,-95.6488075423754,0
OUM,53.1373825323251,-97.4051998472589,0
OUM,53.6618156630651,-98.454066108739,0.563625355411205
OUM,51.1234013722562,-93.3772375271211,0
OUM,51.6037361962679,-94.3379071751445,0
OUM,53.0869969735626,-97.3044287297339,0
OUM,53.6592344944027,-98.4489037714141,0
OUM,53.2938782673533,-97.7181913173153,0
OUM,50.8018387257018,-92.7341122340123,0
OUM,52.4938341133778,-96.1181030093644,0
OUM,51.7602459590944,-94.6509267007976,0
OUM,53.6930135400763,-98.5164618627613,0
OUM,54.2939565343759,-99.7183478513604,0
OUM,53.7589820493292,-98.6483988812671,0
