model,llik,aicc,delta_aicc
OUMV,57.9841808567002,-104.635028380067,1.863423303979
OUMVA,61.9187956333181,-109.928500357545,0
OUMVA,60.5705804937836,-107.232070078476,0
OUMVA,62.2571810991931,-110.605271289295,0
OUMV,57.9618700021441,-104.590406670955,0
OUMVA,61.33735447962,-108.765618050149,0
OUMVA,61.2203298966185,-108.531568884146,0
OUMV,58.4260775692145,-105.518821805096,0.290608331444005
OUMVA,62.7754276610433,-111.641764412996,0
OUMV,58.2607520105927,-105.188170687852,1.29188816460601
OUMVA,62.5601176531758,-111.211144397261,0
OUMVA,61.467170445338,-109.025249981585,0
OUMVA,61.5673992813211,-109.225707653551,0
OUMVA,61.5961009419571,-109.283110974823,0
OUMV,57.9976462070644,-104.661959080795,0
OUMVA,61.2734630144096,-108.637835119728,0
OUMVA,61.5618061203877,-109.214521331685,0
OUMV,57.4922567612648,-103.651180189196,0
OUMVA,60.9664289469811,-108.023766984871,0
OUMVA,61.0097582156057,-108.11042552212,0
OUMVA,61.0879131228109,-108.266735336531,0
OUMVA,61.8362772375881,-109.763463566085,0
OUMVA,62.0207271473791,-110.132363385667,0
OUMVA,61.4749453014682,-109.040799693845,0
OUMVA,61.2040679492868,-108.499044989483,0
OUMV,57.5181824589811,-103.703031584629,1.253533976214
OUMVA,63.1758082827099,-112.442525656329,0
OUMA,3298.59525161838,-6585.85716990342,0
OUMVA,62.2292653829365,-110.549439856782,0
OUMVA,61.6542490998435,-109.399407290596,0
OUMVA,61.7132487913995,-109.517406673708,0
OUMV,57.9872079080553,-104.641082482777,0
OUMA,304.246072592894,-597.158811852455,0
OUMVA,62.7353454536279,-111.561599998165,0
OUMVA,61.1532468193375,-108.397402729584,0
OUMVA,60.8866889033092,-107.864286897527,0
OUMV,58.0488081051071,-104.764282876881,0
OUMV,58.1754017708276,-105.017470208322,1.966084793677
OUMVA,61.2133141138836,-108.517537318676,0
OUMVA,62.6089718088637,-111.308852708636,0
OUMVA,61.8723460692871,-109.835601229483,0
OUMVA,60.9166150384523,-107.924139167814,0
OUMV,58.1400670460094,-104.946800758685,1.86017310893899
OUMVA,62.141633971152,-110.374177033213,0
OUMVA,61.5548187007217,-109.200546492352,0
OUMV,58.483320685329,-105.633308037325,1.42340296747101
OUMV,56.8070195655587,-102.280705797784,0
OUMVA,60.8255401605553,-107.74198941202,0
OUMVA,63.0744084608677,-112.239726012645,0
OUMV,60.6481421123372,-109.962950891341,1.74237809282
OUMVA,60.5740299017337,-107.238968894377,0
OUMVA,61.3362495077503,-108.76340810641,0
OUMVA,61.1268381291853,-108.34458534928,0
OUMVA,60.9814076771949,-108.053724445299,0
OUMVA,60.3254007989893,-106.741710688888,0
OUMVA,61.0529411889825,-108.196791468874,0
OUMV,59.9834853364441,-108.633637339555,1.26894491896
OUMVA,61.2479938496035,-108.586896790116,0
OUMV,59.5292478981426,-107.725162462952,0.431336175385994
OUMVA,60.856039298239,-107.802987687387,0
OUMV,58.7292325983624,-106.125131863391,0.879454047894001
OUMV,57.7540919998281,-104.174850666323,1.520556187577
OUMV,59.1505013413511,-106.967669349369,1.65917194650299
OUMVA,63.0863261478148,-112.263561386539,0
OUMV,57.9883880141455,-104.643442694958,1.786777343952
OUMVA,62.3847898183137,-110.860488727536,0
OUMV,59.1276776339257,-106.922021934518,1.430919501508
OUMVA,60.5565868629353,-107.20408281678,0
OUMVA,333.501198034272,-653.093305159453,0
OUMVA,60.3488799332511,-106.788668957411,0
OUMVA,61.1462938314689,-108.383496753847,0
OUMVA,62.0200535262525,-110.131016143414,0
OUMV,60.0338811860492,-108.734429038765,1.646136447605
OUMV,59.6702085554296,-108.007083777526,1.22702271767
OUMVA,61.8978815230251,-109.886672136959,0
OUMVA,62.0499906412679,-110.190890373445,0
OUMV,59.2134851952933,-107.093637057253,1.39132894038499
OUMVA,61.2453354197631,-108.581579930435,0
OUMVA,60.0219088205028,-106.134726731915,0
OUMVA,62.668695302836,-111.428299696581,0
OUMVA,61.7745541889859,-109.640017468881,0
OUMV,58.9518924212597,-106.570451509186,1.558810722009
OUMVA,60.468331428346,-107.027571947601,0
OUMV,58.2782554525631,-105.223177571793,0
OUMVA,61.5992454688952,-109.289400028699,0
OUMVA,61.3040981935267,-108.699105477963,0
OUMVA,60.5024178943922,-107.095744879693,0
OUMV,59.2449367104754,-107.156540087617,0.528323099868999
OUMV,60.611024441791,-109.888715550249,1.71975262601499
OUMVA,61.0749789379708,-108.240866966851,0
OUMVA,61.8189234023962,-109.728755895701,0
OUMVA,60.1916904365567,-106.474289964023,0
OUMVA,60.4302033967694,-106.951315884448,0
OUMV,57.0171054999152,-102.700877666497,0.971554193685009
OUMV,58.8998324282132,-106.466331523093,1.52497313046
OUMVA,60.4341033269351,-106.959115744779,0
OUMVA,61.4971955294371,-109.085300149783,0
OUMVA,61.4029001022957,-108.8967092955,0
OUMVA,62.4807654087061,-111.052439908321,0
OUMVA,60.2964010464943,-106.683711183898,0
