model,llik,aicc,delta_aicc
OUM,-27.4721230042366,63.8138112258645,0.100898777322797
OU1,-27.1335402988012,60.7777188954747,1.4881900539778
OUMV,-32.2632051825064,75.8597436983461,0
OUM,-27.047356004064,62.9642772255193,0
OUM,-25.7831120334531,60.4357892842974,0
OUM,-26.2170004224568,61.303566062305,0
OU1,-27.2744241600211,61.0594866179146,0.707951002131601
OUM,-25.9661646711883,60.8018945597679,0
OUM,-24.0480573070242,56.9656798314398,0
OUM,-26.4833203926435,61.8362060026783,0
OU1,-26.2891997859632,59.0890378697987,1.3572585043675
OU1,-26.8963211893058,60.303280676484,0.502283759925398
OUM,-29.4333289609536,67.7362231392985,0
OU1,-24.1552815228813,54.8212013436349,0.286865155528098
OUM,-30.6536014626881,70.1767681427676,0
OUMVA,8475.32682427026,-16936.7445576314,0
OU1,-26.1184377023575,58.7475137025874,1.8635650941685
OU1,-28.8592834622212,64.2292052223147,1.11086440236851
OUM,-26.2963860526733,61.4623373227379,0
OUM,-26.3032216694015,61.4760085561943,0
OUM,-26.0600745925644,60.9897144025201,0
OUM,-25.8620476306139,60.5936604786192,0
OU1,-28.5702465359376,63.6511313697476,1.4545001522319
OU1,-26.9750618016539,60.4607619011801,0
OUM,-29.9888963418591,68.8473579011094,0
OUM,-25.476270489662,59.8221061967154,0
OU1,-24.3646855942022,55.2400094862767,0.115528155139998
OUM,-27.9633505748585,64.7962663671083,0
OU1,-28.160001289415,62.8306408767023,0
OUM,-26.6650020652433,62.1995693478778,0
OUM,-27.4344121145698,63.7383894465308,0
OUM,-26.5126816657182,61.8949285488278,0
OUMV,-31.1580717445391,73.6494768224116,0
OUM,-26.0563008831758,60.982166983743,0
OU1,-27.5790410064618,61.668720310796,1.53015152458619
OUM,-26.7420801166962,62.3537254507837,0
OU1,-28.5996746402313,63.709987578335,0.997423816739804
OUM,-26.4600191454145,61.7896035082204,0
OUM,-26.2019823769273,61.2735299712459,0
OU1,-27.7086406645693,61.927919627011,1.6582377346248
OUM,-26.994935211986,62.8594356413633,0
OUM,-28.1296931127816,65.1289514429546,0
OUM,-26.3774729210669,61.6245110595252,0
OUM,-26.8126062591399,62.4947777356712,0
OU1,-28.0458206731789,62.6022796442301,1.1297070088811
OUM,-25.5601921050614,59.989949427514,0
OUM,-25.9943194479484,60.8582041132882,0
OU1,-29.9480193256918,66.4066769492559,1.2839082354856
OU1,-26.0379149312645,58.5864681604012,0.302191994392402
OUM,-22.8834801832797,54.6365255839507,0
OUM,-26.2685247158261,61.4066146490436,0
OUM,-27.699096608221,64.2677584338332,0
OUM,-24.6736389437299,58.2168431048511,0
OUM,-25.7807120048312,60.4309892270537,0
OUM,-25.1036084616732,59.0767821407376,0
OUM,-24.5479717077724,57.965508632936,0
OU1,-26.9147387618844,60.3401158216411,0.646752294083498
OU1,-28.4859483187067,63.4825349352858,1.8641766016142
OUM,-27.0493396504302,62.9682445182517,0
OUM,-26.8673329232253,62.604231063842,0
OU1,-25.0301455706859,56.5709294392441,0.4042027862859
OUM,-25.531909453939,59.9333841252693,0
OU1,-26.9640140142249,60.438666326322,0.205362370691098
OUM,-26.7906559912472,62.4508771998858,1.14676013345871
OUM,-28.1441922205905,65.1579496585722,0
OU1,-29.4741726659534,65.4589836297791,1.2965143509641
OUM,-27.1960475257745,63.2616602689403,0
OUM,-25.9637737146869,60.7971126467652,0
OUM,-30.7469060452107,70.3633773078127,0.908652807605904
OUM,-26.3069502902341,61.4834657978595,0
OUM,-26.1841042663322,61.2377737500558,0
OU1,-26.0858025709659,58.6822434398042,0
OUM,-25.3887687648102,59.6471027470117,0
OUM,-26.8212814247638,62.5121280669189,0
OU1,-26.4660922260666,59.4428227500056,0.900449063609294
OU1,-27.0614794601694,60.6335972182111,0
OUM,-25.9088527160972,60.6872706495857,0
OUM,-26.1312470445381,61.1320593064674,0
OUM,-28.4708976403758,65.8113604981428,0
OU1,-26.1087761634103,58.7281906246928,0.690259117568097
OU1,-27.9009339742511,62.3125062463745,0
OU1,-29.0264915655194,64.5636214289112,1.4363011604959
OUM,-24.1595544839886,57.1886741853686,0
OUM,-27.1341836035336,63.1379324244586,0
OUM,-24.8344708051551,58.5385068277016,0
OUM,-27.3380930611028,63.5457513395969,0
OUM,-26.3821181905273,61.6338015984458,0
OU1,-26.088935314789,58.6885089274503,0.0176641134237983
OUM,-23.7164834543496,56.3025321260904,0
OUM,-26.6750963617062,62.2197579408037,0
OUM,-27.0549061262412,62.9793774698736,0.312079153594098
OUM,-25.0293708976373,58.9283070126659,0
OUM,-24.4440505262468,57.757666269885,0
OUM,-25.7698228460133,60.409210909418,0
OUM,-26.0875464147327,61.0446580468566,0
OU1,-26.2664981449577,59.0436345877877,1.3660354753555
OU1,-27.8705861098026,62.2518105174775,0
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
