model,llik,aicc,delta_aicc
OUMV,43.6751606731398,-76.0169880129463,0.706027922310199
OUM,47.3060981959299,-85.7426311744684,0
OUM,43.3119796560002,-77.7543940946091,0
OUM,45.6621912358627,-82.4548172543341,0.786624934303504
OUM,47.5325900515674,-86.1956148857435,0
OUM,46.5606983808545,-84.2518315443178,1.02170433291711
OUM,45.549275716382,-82.2289862153727,0.233124164568395
OUM,46.8035354125404,-84.7375056076894,0
OUM,49.2495547884204,-89.6295443594494,1.023929638799
OUM,46.055239604175,-83.2409139909588,0
OUM,48.2385510180714,-87.6075368187515,0.161024746489701
OUM,47.2370985922822,-85.604631967173,1.56671012684089
OUM,45.2382308879235,-81.6068965584558,0
OU1,46.7313998584441,-86.9521614190158,1.28211029523941
OUM,43.26953010756,-77.6694949977287,0
OUMA,45.6312204314244,-79.9291075295154,0
OUM,48.1824411540103,-87.4953170906293,0
OUM,46.3365969766783,-83.8036287359652,0
OUM,42.8827780126985,-76.8959908080058,1.4511096873039
OUM,46.5820621308777,-84.294559044364,1.16457725817961
OUM,46.0607588671922,-83.2519525169932,1.7315374710675
OUM,45.6849149798636,-82.5002647423359,0.576626584729098
OUM,44.5579003084231,-80.2462353994549,0.453271474253796
OUM,49.1159481054096,-89.3623309934279,0
OUM,44.9807438455355,-81.0919224736797,0
OUM,45.2600203967421,-81.6504755760929,0
OUM,48.2051526330361,-87.5407400486809,0
OUM,43.2629666766027,-77.6563681358142,0
OUM,46.5905520837557,-84.3115389501202,0.0368639838248015
OUM,48.6532802439982,-88.436995270605,0
OUM,45.294051096853,-81.7185369763148,0.441141702828901
OUM,44.015593918494,-79.1616226195966,1.7573699330343
OUM,43.0556243277512,-77.2416834381112,0
OUM,47.3548277046668,-85.8400901919423,0
OUM,45.4692412295102,-82.0689172416291,1.2549251198012
OUM,45.8199208415535,-82.7702764657158,0
OUM,44.333857184925,-79.7981491524587,0
OUM,44.5004238946798,-80.1312825719683,0.0480294252247973
OUM,49.1341361990737,-89.398707180756,0
OUM,45.7234032560034,-82.5772412946156,0.519874603285601
OUMA,47.466028484571,-83.5987236358087,0
OUM,43.797274308456,-78.7249833995207,0.471394278076005
OUMA,44.757858435738,-78.1823835381427,0
OUM,47.6118459761756,-86.3541267349599,0.676043471932701
OUM,46.9769393089037,-85.0843134004161,0
OUM,47.7601502335745,-86.6507352497578,0.130552538258002
OUM,45.8823828247497,-82.8952004321082,1.0521575877687
OUM,47.4363829412927,-86.003200665194,0
OUM,49.3791017758313,-89.8886383342713,0.295177513922795
OUM,50.6119829593142,-92.354400701237,0.678252380618801
OUM,44.7028858767314,-80.5362065360715,0.876705478139101
OUM,45.5154047874102,-82.1612443574291,0.0859456587685088
OUM,49.4379416464289,-90.0063180754665,0
OUM,49.9394452075659,-91.0093251977406,0
OUM,46.806476562441,-84.7433879074907,1.34193582975711
OUM,47.5779091364132,-86.2862530554351,0
OUM,49.6942353937443,-90.5189055700973,0.735915232224301
OUM,47.3580030382062,-85.8464408590211,0
OUM,48.6372133964313,-88.4048615754712,0
OUM,44.6284019486262,-80.387238679861,0
OUM,48.4340965939308,-87.9986279704702,0
OUM,44.5066246367107,-80.1436840560301,0.0211031531296015
OUM,49.0357743821741,-89.201983546957,0
OUM,49.0272809579143,-89.1849966984374,0.113808284794104
OUMV,44.2037974221069,-77.0742615108805,0.921098707222598
OUM,46.1578312492512,-83.4460972811111,0
OUMA,48.1868049781227,-85.0402766229121,0
OUM,47.1879029146853,-85.5062406119793,0
OUM,43.2366551253969,-77.6037450334026,0
OUMV,45.9269110201446,-80.5204887069558,1.51877832231679
OUM,43.3224975834261,-77.775429949461,0
OUM,47.2115377328746,-85.553510248358,0
OUM,50.1306659675434,-91.3917667176955,0.384344863110499
OUM,47.2995855728577,-85.7296059283241,0
OUM,49.1731712395668,-89.4767772617424,0.00720586364259646
OUM,46.8502577497481,-84.8309502821048,0
OUM,46.8237042698739,-84.7778433223564,1.8881043080404
OUM,44.4719340217665,-80.0743028261417,0
OUM,46.5235489472354,-84.1775326770796,0
OUM,48.0088503412241,-87.1481354650569,0
OUM,45.3764318308402,-81.8832984442891,0
OUM,48.4037754627656,-87.9379857081398,0
OUM,47.2840290833878,-85.6984929493844,0
OUM,44.5753712925297,-80.2811773676682,0
OUM,49.2591616033285,-89.6487579892658,0
OUM,45.4708403371152,-82.072115456839,0.0663747297521979
OUM,44.2255679162835,-79.5815706151757,0
OUM,48.211398236731,-87.5532312560706,0
OUM,50.5734798969702,-92.2773945765491,0
OUMA,46.0679664150525,-80.8025994967716,0
OUMA,48.1699861432103,-85.0066389530874,0
OUM,46.9324052647705,-84.9952453121496,0
OUM,47.2535537113366,-85.6375422052818,0
OUM,47.6463460054581,-86.423126793525,0
OUMA,47.8362585951954,-84.3391838570574,0
OUM,48.1017199003968,-87.3338745834022,0
OUM,46.8149401612896,-84.7603151051879,0.3393474884341
OUM,48.9983831418985,-89.1272010664057,0
OUM,46.5185374575558,-84.1675096977204,1.0081058227308
OUM,46.9959810178589,-85.1223968183265,0
