model,llik,aicc,delta_aicc
OUMVA,23.4539301418052,-32.9987693745194,0
OU1,15.3102998787163,-24.1099614595602,0
OU1,6.17431855140011,-5.83799880492787,0
OUMVA,22.8631450380491,-31.8171991670073,0
OUMVA,27.0589125799279,-40.2087342507649,0
OUMVA,22.767388171799,-31.6256854345072,0
OUMVA,21.4848920847713,-29.0606932604518,0
OUMVA,25.66685920287,-37.4246274966492,0
OU1,18.9200756622489,-31.3295130266255,0
OUMVA,22.8792953330134,-31.8494997569359,0
OUMVA,27.1033517667765,-40.297612624462,0
BMS,19.3492067654719,-32.1877752330715,1.672421508186
OUMVA,17.5945979251626,-21.2801049412343,0
OUMA,808.602961622338,-1605.87258991134,0
OUMVA,16.3940866235265,-18.8790823379621,0
OUMVA,24.5546701268073,-35.2002493445237,0
OUMVA,26.4614838059107,-39.0138767027305,0
OUMVA,24.276434602318,-34.6437782955452,0
OU1,14.9456503958758,-23.3806624938793,0
OUMVA,24.4768921535497,-35.0446933980084,0
OUMA,372.376882342085,-733.420431350836,0
OUMVA,25.9970071671226,-38.0849234251543,0
BM1,19.7944760402384,-35.3389520804768,1.9866024366239
OUMVA,21.6234131810392,-29.3377354529874,0
OUMVA,12.8452446183554,-11.7813983276199,0
OU1,12.8779709021656,-19.2453035064588,1.1371567518201
OU1,19.2904861835096,-32.0703340691469,0
OUMVA,24.4512294530181,-34.9933679969452,0
OU1,11.9860558456718,-17.4614733934713,0
OUMVA,22.9608285205184,-32.0125661319459,0
OUMVA,20.7539096141284,-27.5987283191659,0
OUMVA,24.0101581958983,-34.1112254827057,0
OU1,12.0142676393017,-17.5178969807311,0.883077548641101
OUMVA,22.5214616871831,-31.1338324652753,0
OUMA,1268.85743011217,-2526.381526891,0
OU1,15.1442559928151,-23.7778736877578,0.750571809032099
OUMA,1929.51780508396,-3847.7022768346,0
OUMVA,26.5849192767275,-39.2607476443641,0
OUMVA,25.5849333105614,-37.2607757120319,0
OU1,17.2293757311799,-27.9481131644875,0
OU1,21.298353309225,-36.0860683205776,0.882774992955298
OUMVA,20.7526004353238,-27.5961099615568,0
OUMVA,25.8650564655729,-37.8210220220549,0
OUMVA,20.5012036571504,-27.0933164052099,0
BMS,18.6744667016362,-30.8382951054001,1.0359865510126
BMS,18.0006380795701,-29.4906378612679,0
OUMVA,27.8829460588378,-41.8568012085847,0
OUMVA,19.0083831922077,-24.1076754753245,0
BMS,18.873426397823,-31.2362144977737,1.3393330911668
OUMVA,25.8415549010437,-37.7740188929965,0
BMS,20.3281966996582,-34.145755101444,0.398176909479794
OUMVA,24.5870259897249,-35.2649610703588,0
OUMVA,27.0465582034223,-40.1840254977537,0
OUMVA,25.6160715001986,-37.3230520913062,0
OUMVA,25.8649141201178,-37.8207373311446,0
OUMVA,26.5455940237568,-39.1820971384226,0
OU1,14.8755745894137,-23.2405108809551,0
OU1,17.5139394635814,-28.5172406292904,0
OUMVA,25.0375346431716,-36.1659783772524,0
OUMVA,18.5893078551626,-23.2695248012342,0
OUMVA,25.5457958694656,-37.1825008298403,0
OUMVA,26.0600486697812,-38.2110064304714,0
OUMA,1170.6393311424,-2329.94532895148,0
OUMVA,21.73320091462,-29.5573109201491,0
OUMVA,19.9913311967834,-26.073571484476,0
OU1,10.0807325265098,-13.6508267551472,0
OUMVA,23.0363824897703,-32.1636740704497,0
OUMVA,27.1558440182088,-40.4025971273268,0
OUMVA,22.1775915689763,-30.4460922288617,0
OUMVA,23.401895190634,-32.8946994721772,0
OUMV,16.8237946163158,-22.3142558992982,0
OU1,13.2910849113862,-20.0715315249001,0
OUMVA,22.6168615408246,-31.3246321725583,0
OUMV,17.5961106063035,-23.8588878792737,0.2259771868925
OU1,19.6787770937567,-32.846915889641,1.34946117082281
OU1,15.8747940422537,-25.2389497866351,1.2859773081492
OUMA,1139.87436227932,-2268.4153912253,0
OUMVA,20.0501163948586,-26.1911418806263,0
OUMVA,21.338131545862,-28.7671721826331,0
OUMA,723.500914841112,-1435.66849634889,0
OU1,15.8667637245206,-25.2228891511689,0
OUMVA,23.439806799353,-32.9705226896151,0
OUMVA,22.4270922065792,-30.9450935040676,0
OU1,11.1259518069539,-15.7412653160356,1.2758034117477
OUMVA,24.5349618379376,-35.1608327667843,0
OUMA,1214.00799877822,-2416.6826642231,0
OUMVA,22.9676868621255,-32.02628281516,0
OUMA,516.779755444232,-1022.22617755513,0
OUMVA,28.328231603076,-42.7473722970611,0
OUMVA,24.6847100024891,-35.4603290958874,0
OUMVA,21.3716923292796,-28.8342937494683,0
OUMVA,27.0625051643124,-40.2159194195339,0
OUMVA,27.5998121347367,-41.2905333603824,0
OUMVA,25.8713545183466,-37.8336181276023,0
OUMVA,25.9872802693329,-38.0654696295748,0
OU1,19.5107782344892,-32.5109181711061,0.813573661394905
OUMVA,23.2855432483705,-32.6619955876501,0
OUMVA,23.9677397199338,-34.0263885307767,0
OUMVA,18.9444483975879,-23.9798058860849,0
OU1,15.2789558554438,-24.0472734130154,0
