V1,V2
model,aicc
OU,-38.3024952180119
OU,-26.755627126638
OU,-26.8067677567598
OU,-26.6229547840378
OU,-26.0635969446872
OU,-26.7309298719566
OU,-25.9672174378722
OU,-26.2253493356581
OU,-26.0606977602972
OU,-26.6844339500414
OU,-25.3407102451483
OU,-25.7910079725114
OU,-26.5549229977976
OU,-28.0690369500682
OU,-25.9997068589479
OU,-26.0486000850949
OU,-26.5340043936565
OU,-26.2336708053219
OU,-26.0134350996664
OU,-26.180026298164
OU,-24.9261084170687
OU,-26.6473153537505
OU,-26.3314048701186
OU,-25.1794376377381
OU,-26.2059633983594
OU,-25.7835014356168
OU,-26.2706975406173
BM,-30.6048127740828
OU,-25.1763079837698
OU,-27.0236647519238
OU,-26.2618306223541
OU,-26.8440994380651
OU,-26.2380178692115
OU,-26.9049334013596
OU,-26.4779295508207
OU,-25.7271788021931
OU,-29.7482015550171
OU,-26.6181203860853
OU,-26.7431363276424
OU,-26.5226953238985
OU,-26.1692146897297
OU,-26.5731227726784
OU,-25.8822972739112
OU,-30.0090034595065
OU,-32.7283203288526
OU,-25.6139498767063
OU,-26.4412800432386
OU,-26.8485211312204
OU,-28.9237079535979
OU,-24.8096885251683
