state,mean_no,intercept_no,angular_no
AF,0.226663022175153,0.246264527036004,-0.00887775294396342
AFother,0.299728758557985,0.209447912419588,0.032988387629433
other,0.193288081858036,0.152125824024127,0.0113124290275708
AF,0.21913183533937,0.288487816037172,-0.0190483300387403
AFother,0.306698873384649,0.249790438375119,0.0136019483300045
other,0.193758091460923,0.150830038643528,0.00826423620499832
AF,0.219002440970319,0.296314412803939,-0.0372830103803159
AFother,0.225087874972546,0.268862035127426,-0.0153397525240902
other,0.194147596136127,0.190118007160547,0.00126210188109902
AF,0.218147019941658,0.301553092379459,-0.0331695962515584
AFother,0.299440946510114,0.228524009424916,0.0200520903493409
other,0.207382211614819,0.218198846490122,-0.00276986656362383
AF,0.217812417059439,0.25166746679621,-0.00637416705485303
AFother,0.271604471722384,0.261982132673842,0.00171913055803084
other,0.19310653571368,0.171053273548375,0.00268818064537315
AF,0.227638258379229,0.305923766951085,-0.026125079390485
AFother,0.297596812428567,0.195228954490428,0.0195127026908468
other,0.207269032184194,0.203263286932375,0.000678531238467604
AF,0.219445064591798,0.274882820906108,-0.019080578998124
AFother,0.298572873305902,0.251989717352271,0.0139300649873289
other,0.188685603143917,0.198485717371829,-0.00232311619145778
AF,0.217099758544295,0.253270874084712,-0.0115730277845358
AFother,0.297492952924833,0.177883395855222,0.0294129034055408
other,0.192110110592359,0.157817538711633,0.00742127725139596
AF,0.218859679242475,0.282664145412839,-0.0124329316253823
AFother,0.306478395852427,0.206476952002535,0.017886852108145
other,0.195402510174208,0.17761369745746,0.0026424072193648
AF,0.217914490508775,0.291899384041263,-0.0263506179528826
AFother,0.292088792891287,0.258591248201693,0.0103627642270012
other,0.204821264283503,0.197345559147779,0.00166932305044022
AF,0.2185205095958,0.306493733492841,-0.0287850137125703
AFother,0.299190574039488,0.252773062145891,0.0112933605874097
other,0.192552992352568,0.15446938606229,0.00768291586424834
AF,0.216100630664854,0.299249078181833,-0.0278186716769447
AFother,0.290112942539151,0.27070583725219,0.00530722767415857
other,0.192591397487059,0.173819765833126,0.00420684905205921
AF,0.217657841291871,0.263215562676277,-0.0147968560479135
AFother,0.226157732843056,0.273312926796336,-0.0129753451442142
other,0.19203797790177,0.181806118005935,0.00244886710939414
AF,0.218181286971573,0.311258818866732,-0.0266344453905447
AFother,0.199141002090812,0.271922075541981,-0.0153020540178757
other,0.206772010908118,0.210562923391482,-0.000704564319306553
AF,0.218534650798874,0.274697432758509,-0.0194089909801165
AFother,0.204735286972259,0.28742217842233,-0.0242808335490018
other,0.19497967074475,0.175133617312994,0.00484327686155616
AF,0.219061504410474,0.301031086283925,-0.0277619321439086
AFother,0.298288503083366,0.250941581679871,0.0141277846181374
other,0.192263739132545,0.17206393336778,0.00441077719678545
AF,0.217743874567028,0.256810478933694,-0.0109661188442427
AFother,0.224119544646873,0.24688612551796,-0.0049968407566154
other,0.189528059753557,0.177255901325429,0.00248209850948423
AF,0.217422697297629,0.265151321431818,-0.0165967533564654
AFother,0.222143439841588,0.255412703129548,-0.00928459671333085
other,0.193036938394546,0.182011307248126,0.00265875940894009
AF,0.22836489852224,0.312311447197118,-0.0223555995007638
AFother,0.280741732306702,0.147835222755548,0.0302581471352495
other,0.194972154192951,0.16393067185795,0.00604475025365982
AF,0.218460742273291,0.309541923757425,-0.0335019109709594
AFother,0.307384471108397,0.211284436645738,0.0281457227321943
other,0.214704274501544,0.194360783049646,0.00543474389566633
AF,0.218308965956563,0.256648095571967,-0.01072443512648
AFother,0.22474123614633,0.273281419678245,-0.0146549205432596
other,0.194770685908011,0.164624157292663,0.00839136198185044
AF,0.226635398074905,0.283163689751113,-0.0196930861024258
AFother,0.225087442758067,0.269724931041684,-0.0118022166845558
other,0.19733994491099,0.173692678289728,0.00522829072081437
AF,0.218071739052656,0.284866465334755,-0.025522172791089
AFother,0.300029654822195,0.239813950448509,0.0169586590871145
other,0.195198711626887,0.172045346518282,0.00505585528349731
AF,0.218566518740255,0.263020349631602,-0.0172108573948641
AFother,0.22192019621324,0.253608092879235,-0.00840297210655767
other,0.187893323397487,0.159112550907783,0.00579727668960082
AF,0.216516301737562,0.322034447480525,-0.0460091423766928
AFother,0.223382278169297,0.254213932966648,-0.0103352940053489
other,0.199302964328296,0.171335148677992,0.00846813102208469
AF,0.22664395047732,0.274039317458274,-0.0127099690337477
AFother,0.290695634937459,0.222038349868224,0.0172634783712036
other,0.192699332213593,0.168982702274097,0.00572374778701906
AF,0.217755775262867,0.295137613427369,-0.0205018590134484
AFother,0.232217952638383,0.263416052336237,-0.00683901422820366
other,0.185712459038097,0.14766333799125,0.00637262243414868
AF,0.226682448561441,0.271121907879343,-0.0124850687405218
AFother,0.3071912841937,0.250758928692666,0.0138815378397335
other,0.192536681753346,0.177677987711215,0.00291322431452181
AF,0.219261367876445,0.285626515089856,-0.0241475800630356
AFother,0.306757425405583,0.198007650078641,0.03145031824952
other,0.192565696882302,0.162224903899122,0.00752417716895475
AF,0.220066446901724,0.306601643489775,-0.0272460111096392
AFother,0.299779666240015,0.251098765161149,0.0115234142285351
other,0.192670978724282,0.169869883504543,0.00394355898878556
AF,0.215162994783288,0.270005076698744,-0.0184283189824985
AFother,0.306001251387791,0.207698838238371,0.0258687795342768
other,0.193831502026059,0.151765098393961,0.00988057061299238
AF,0.218081821671174,0.294974240265225,-0.0264513753378236
AFother,0.198310392075181,0.261744448798041,-0.0162253931364902
other,0.19279442011311,0.172605773330256,0.00438504440698356
AF,0.217442050488299,0.256355313260038,-0.0131624116818183
AFother,0.223059669707925,0.247635716528615,-0.00727710600287633
other,0.193242365086484,0.171325270710092,0.00576469890364413
AF,0.218188666185017,0.296754160314483,-0.0326406612455706
AFother,0.298456177854984,0.179538212032816,0.0345426478094435
other,0.192545262433044,0.176515639866404,0.00378010127885124
AF,0.226218889950678,0.284345818505737,-0.0172838494596816
AFother,0.20476992843604,0.271949992854261,-0.0148543734483792
other,0.193820584484163,0.170641879914094,0.00503817623301006
AF,0.226894649915055,0.299007645784261,-0.0223894247315374
AFother,0.30630713530926,0.192954267889881,0.0343415033478156
other,0.194897788429773,0.189106373185994,0.00171257879140586
AF,0.217669542977652,0.301979582129729,-0.0283054911376581
AFother,0.298275349459164,0.219398386716862,0.0182396963654168
other,0.206286100213436,0.175629557640531,0.00699984552982391
AF,0.217503321343874,0.254971255474871,-0.0111588911491181
AFother,0.290664653952332,0.214471511779102,0.0195254634635269
other,0.193163092085999,0.16637702006156,0.00542288854308381
AF,0.219733465707905,0.276421525759314,-0.0197182825097318
AFother,0.298954598881548,0.257853896230058,0.0125066515082627
other,0.192230117202185,0.162845573660182,0.00651159637491689
AF,0.218229067334376,0.260949728931339,-0.0116367559726192
AFother,0.281674534452082,0.252585319573657,0.00688081033921689
other,0.192633085738123,0.167418645422042,0.00541208579598437
AF,0.218526081827566,0.264044568752831,-0.0216484213324834
AFother,0.231349845553547,0.273464433417108,-0.0152591056047821
other,0.192894986873407,0.161599619970959,0.00827421376246402
AF,0.219077229459803,0.274488534124887,-0.0212260246169912
AFother,0.272130492961945,0.223241953818265,0.0134182893176746
other,0.192797433302881,0.187015257357992,0.00155869668656018
AF,0.226462283920866,0.301755157450613,-0.0187371930465149
AFother,0.223948305827408,0.256774025465432,-0.00813117839445859
other,0.207394310441236,0.193094422629376,0.0027955955061555
AF,0.21838809699898,0.303038255098974,-0.020268272174694
AFother,0.281513897847143,0.224264275034016,0.0110319608007526
other,0.192766623958882,0.196980268583691,-0.000764442695944139
AF,0.227090064952396,0.265161628504981,-0.0144249304353386
AFother,0.307543650575613,0.238524932005484,0.0169696557142505
other,0.193186977443678,0.192574205846414,0.000127424290490893
AF,0.226708296992526,0.287237991087638,-0.014732090302193
AFother,0.231803288808641,0.270197312350248,-0.0078505622532592
other,0.194121336474861,0.166683069452993,0.00513359277735142
AF,0.218417472661965,0.306208310804443,-0.0315747989393981
AFother,0.215262095753727,0.267175499284018,-0.0153834584673233
other,0.195167416129807,0.161708722492807,0.00821107040804862
AF,0.227655991903093,0.297596065862487,-0.0245437023173484
AFother,0.232523965843696,0.262051990801164,-0.00819978772500005
other,0.192811452929804,0.14563446464106,0.0105671112572368
AF,0.218814391980174,0.334760417021541,-0.027397737789885
AFother,0.29941527553189,0.186825805694568,0.0258269492402968
other,0.193454569241773,0.177927571058526,0.00282757473841306
AF,0.226597283088199,0.297168522102666,-0.0244611216064444
AFother,0.299387776399293,0.221583647602966,0.0225671992205817
other,0.186377552654705,0.153271482177373,0.00731134086506263
AF,0.226980949820567,0.261870512453287,-0.00738031692665295
AFother,0.280708033021326,0.229025391138765,0.00829350026453427
other,0.195187399224248,0.170861450245038,0.00373227293593366
AF,0.226191090060034,0.289061868830617,-0.0240905581077951
AFother,0.281491205570552,0.235750245365981,0.0134657784477206
other,0.193358956658074,0.188440194683341,0.0013927484133823
AF,0.217326697733778,0.280733979676272,-0.0228670483299406
AFother,0.290777343773713,0.216216777331869,0.0218504708242769
other,0.195479313551972,0.163124712590967,0.0087926551579446
AF,0.217257319225062,0.248827061555969,-0.00595753568587043
AFother,0.300628659783692,0.194202197288816,0.0201447711020678
other,0.207081560348455,0.181023896938781,0.00400401243870166
AF,0.2182459544356,0.270270307721533,-0.016037773394101
AFother,0.216547658082997,0.253742942740197,-0.0102248964239801
other,0.196305627222226,0.186378822425273,0.00209277110456908
AF,0.216575695935971,0.264112511006812,-0.0187230497184152
AFother,0.290842969388024,0.18387473306527,0.0309365026122908
other,0.192987830015908,0.166025501917215,0.00557893335222445
AF,0.218193849307668,0.290393875121044,-0.0191417916713432
AFother,0.306317768313555,0.251482332151518,0.0118715960035108
other,0.204722866714313,0.209701173399863,-0.000839140695219835
AF,0.217004327352858,0.287942166859876,-0.0301748571276122
AFother,0.197128081588254,0.28697185976165,-0.0251821029103203
other,0.193842817720066,0.170911184617105,0.00548577951887136
AF,0.218282936939551,0.280597754315924,-0.0256942971174885
AFother,0.308374144835238,0.209990917561537,0.0290046388133489
other,0.194671708633512,0.160449182196651,0.00881106127171123
AF,0.217587578558134,0.334120114273114,-0.0350728734292167
AFother,0.204288321665144,0.264601302431438,-0.0169675560454253
other,0.189953212330848,0.163526110853258,0.00600124497745476
AF,0.217538765095211,0.296787135162411,-0.028482003395893
AFother,0.230543807710434,0.272079635117665,-0.0113614420708215
other,0.204129461132898,0.198426220143938,0.00124574230267526
AF,0.217299341041653,0.285318185092003,-0.0291732105974513
AFother,0.223765172321855,0.2839770996695,-0.0189672652593992
other,0.204393693604177,0.183260262322635,0.0058009082637346
AF,0.217588791398536,0.256237371738824,-0.0125940052995712
AFother,0.298102106831862,0.16172903149384,0.03225378030739
other,0.195403523919714,0.144084366037305,0.0106812398650822
AF,0.219969449688691,0.300679717658655,-0.0322389230973058
AFother,0.22455714231623,0.257232400897632,-0.00985821363534842
other,0.192258443683735,0.155245722121834,0.00865230899379784
AF,0.217828649249002,0.234344318556079,-0.00529684913200516
AFother,0.299642410425615,0.239649688285961,0.0172767395239765
other,0.193152382613317,0.158261266705623,0.00878480971625868
AF,0.216319480416672,0.303998954307132,-0.0241156340542281
AFother,0.198773615369244,0.269806245821807,-0.014823338161848
other,0.204643452641587,0.195641933116187,0.00148439207509503
AF,0.218176642212636,0.241879063976391,-0.00731026874957137
AFother,0.217839685046528,0.249701013360162,-0.00701280279788033
other,0.194378766133661,0.170487778671101,0.00498289244938141
AF,0.217375799680301,0.290849376991094,-0.0330790933533107
AFother,0.216935457526297,0.267077995979523,-0.0197409771429644
other,0.184171343639319,0.153881529191577,0.00842371713301526
AF,0.218677455634744,0.316423067431567,-0.0307463081204795
AFother,0.231720543348024,0.289539979282168,-0.0134176670324001
other,0.194775086621928,0.16622062971851,0.00623386752916194
AF,0.219204983034442,0.273731728894716,-0.0207111528009035
AFother,0.292485919787885,0.209777860127507,0.0261383855226981
other,0.183694387892905,0.151894990798655,0.00816799316651408
AF,0.226466182895968,0.266070807422775,-0.011884764459574
AFother,0.280285113911927,0.288080149793375,-0.00195251084197672
other,0.193051850352042,0.172421109625822,0.00466394702918937
AF,0.218205850163021,0.291391478725355,-0.024772507514067
AFother,0.306297566379417,0.251464630381671,0.0157585832685013
other,0.192323365149248,0.17886777976443,0.00310855079920343
AF,0.227122419387617,0.301553721697714,-0.0214922891751974
AFother,0.222660674957319,0.274055731888402,-0.0130708980175965
other,0.192561641364986,0.162015093610603,0.00555238237919026
AF,0.227309296863447,0.30891931542023,-0.0313718916938617
AFother,0.223864615175438,0.267276848070527,-0.0100182673154603
other,0.195453664276512,0.189197391023123,0.00124189460394731
AF,0.217309603047568,0.271140347326427,-0.0172604355172759
AFother,0.215571748131307,0.278483652596146,-0.0175982923836825
other,0.194761799109812,0.16252330626801,0.00726755323033427
AF,0.219260935413161,0.26364012706066,-0.0183706137240953
AFother,0.22427893111281,0.276213326039571,-0.0175345334654905
other,0.199651280898224,0.17951110590286,0.00554128759778127
AF,0.228524053522054,0.305043426362644,-0.0198617803734959
AFother,0.222908504462157,0.271338608454586,-0.00946559316407569
other,0.194640757767839,0.165037591857058,0.005212185365867
AF,0.21783207401101,0.325625608060923,-0.0269383230848956
AFother,0.224207710837651,0.274192551683923,-0.0107464064343783
other,0.19994361121965,0.164090949341954,0.00671185860268681
AF,0.217777564593956,0.242976161141962,-0.00748261964575886
AFother,0.299556313410356,0.226900339166131,0.0221017858673439
other,0.194495357387246,0.170708915758469,0.00529427563340232
AF,0.219210321686562,0.296158241344373,-0.0180534968178628
AFother,0.223633233469398,0.262983306081539,-0.00867047254806571
other,0.194373435194976,0.171425630787817,0.00439415251942462
AF,0.217695819430744,0.290080065616354,-0.0265660633160016
AFother,0.230627685996103,0.276667865052501,-0.0135773889155967
other,0.19432565702091,0.174435654042124,0.00460599637875247
AF,0.21819708423823,0.289211626302195,-0.0258841364650614
AFother,0.225751953243763,0.268047480448211,-0.0126055756004006
other,0.192512837835062,0.164617392652489,0.00634342242087504
AF,0.219279465291383,0.342857326566129,-0.0339147713714574
AFother,0.198384468118048,0.259638370401874,-0.0159927162149482
other,0.19512485014362,0.150863129757095,0.00800817669167358
AF,0.217122687429601,0.298901345378613,-0.0300899183883726
AFother,0.198389727478624,0.287471094457914,-0.0255474258160162
other,0.192195675644514,0.189453715646892,0.000634321517158078
AF,0.216524690401123,0.300985963095857,-0.0229247990113398
AFother,0.215883214555058,0.253215473347915,-0.0100614271290672
other,0.19272493879428,0.150688311194491,0.00882535027006814
AF,0.218184339736584,0.320323792823309,-0.0329513422771303
AFother,0.28077368315584,0.208665311082511,0.0201132696284839
other,0.193053392760342,0.180011280885309,0.00285182258042325
AF,0.226964839822908,0.288599876751402,-0.0222083678082568
AFother,0.299351856026508,0.236979474926991,0.017333759532314
other,0.201263531432015,0.178490851530139,0.00537863879188952
AF,0.217961559228972,0.258881501326154,-0.0201177221689843
AFother,0.29968305918807,0.242147206753686,0.0240537265517827
other,0.186049942483105,0.143979289473438,0.011240616260648
AF,0.22650714907286,0.278759551489337,-0.018224098794735
AFother,0.224230981059592,0.269936056735266,-0.00982065873308744
