model,llik,aicc,delta_aicc
OUMV,-88.5850654700506,188.503464273435,0
OUMV,-90.9018543259834,193.1370419853,0
OUMV,-91.2296351026654,193.792603538664,1.44269645875599
OUMV,-89.9157767128187,191.164886758971,0.228196889429
BMS,-90.7292818690801,187.969202036033,0
OUMV,-90.1402287083283,191.61379074999,0
BM1,-90.7474957103933,185.744991420787,1.545169581604
OUMV,-90.260192844007,191.853719021347,0.310644619074992
BMS,-89.4738678431469,185.458373984166,0
BMS,-90.3300418457225,187.170721989317,0
BMS,-90.6392637035151,187.789165704902,0
BMS,-92.9796918990096,192.470022095892,0.859232441305011
BMS,-91.8892423479942,190.289122993861,0
BMS,-92.3915907696474,191.293819837167,0
OUMV,-91.2359340286927,193.805201390719,0.504463334951993
OUMV,-90.3985562870183,192.13044590737,0.399323437498992
OUMV,-91.34718556435,194.027704462033,0
BMS,-92.5004432658563,191.511524829585,0
BMS,-90.8819421641391,188.27452262615,0
OUMV,-90.9115709874104,193.156475308154,0
BMS,-90.0890889934782,186.688816284829,0
BMS,-92.1975395405432,190.905717378959,1.05864567199998
BM1,-91.7085244633342,187.667048926668,1.68992076033899
BM1,-93.0714282889628,190.392856577926,1.58018485720501
OUMV,-91.4387746643728,194.210882662079,0
OUMV,-89.9596467635776,191.252626860488,0.420593106110005
BMS,-91.9145660995332,190.339770496939,0
OUMV,-89.2163123577275,189.765958048788,0.143011620227014
OUMV,-91.1070857410826,193.547504815498,0
BMS,-92.1317735967151,190.774185491302,0.567035635187011
BMS,-92.0327767380471,190.576191773967,0.881189717837003
OUMV,-89.2978735465787,189.929080426491,0
OUMV,-92.8513795475063,197.036092428346,0
OUMV,-89.1298029110449,189.592939155423,0
OUMV,-90.9114453063917,193.156223946117,0
OUMV,-89.6451225657144,190.623578464762,0
BMS,-93.1059430535494,192.722524404971,0.356165256273016
BMS,-92.5076944436024,191.526027185077,1.145589264249
OUMV,-91.4495187498709,194.232370833075,1.66347685178502
BMS,-91.477545538976,189.465729375824,0
OUMV,-90.1231025631334,191.5795384596,0
OUMV,-90.6268078560667,192.586949045467,0.404672951634012
OUMA,182.209646005192,-353.08595867705,0
BMS,-92.878832428736,192.268303155344,0
BMS,-92.3530689271614,191.216776152195,0.634293339749007
BMS,-91.3930923683786,189.29682303463,0
BM1,-90.6442387426679,185.538477485336,1.686003689562
BMS,-92.9960005630407,192.502639423954,0
BMS,-93.4400167520965,193.390671802065,0.392664736545981
BMS,-87.0129358100459,180.536509917964,0
BMS,-88.4548574108969,183.420353119666,0
OUMV,-88.5696416628769,188.472616659087,0
BMS,-90.631036282178,187.772710862228,0
BMS,-93.4649113947244,193.440461087321,0
BMS,-91.2174567807299,188.945551859332,0
BMS,-91.0861428890569,188.682924075986,0
BMS,-90.1050546933369,186.720747684546,0
BMS,-91.9820370022625,190.474712302397,0.586129528138997
OUMV,-93.7931412666211,198.919615866576,0.303630924342002
BMS,-90.8202911529709,188.151220603814,0
OUMV,-90.9053834558432,193.14410024502,0
OUMV,-89.9452730300004,191.223879393334,1.11536774446998
BMS,-92.0393394512425,190.589317200357,0
OUMVA,1151.19935045882,-2288.48961000854,0
BMS,-91.9095858422241,190.329809982321,0.190124891924
OU1,-93.858130194304,194.22689868648,0
OUMV,-90.6720187994553,192.677370932244,0
BMS,-91.7835677703449,190.077773838562,0
OUMV,-91.7664854622332,194.8663042578,0.105338741948998
OUMV,-88.278585796996,187.890504927325,0
OUMV,-88.6785287495094,188.690390832352,0
OUMV,-89.3832336892457,190.099800711825,0
BMS,-90.2332381029963,186.977114503865,0
OUMA,147.455430243682,-283.577527154031,0
OUMV,-91.653594988987,194.640523311307,0
BMS,-90.7863193182534,188.083276934379,0
BM1,-90.8023846520894,185.854769304179,1.66422168497601
BMS,-89.3818257409997,185.274289779872,0
BMS,-90.9784048915283,188.467448080929,0.760149032112992
BMS,-90.6011074760058,187.712853249884,0
BM1,-90.2971035407259,184.844207081452,1.212031551542
BMS,-93.0841542998647,192.678946897602,0.241549242909997
BMS,-91.5779898939023,189.666618085677,0.512818554057986
BM1,-90.7455501794584,185.741100358917,1.18594665190301
OUMV,-91.3955349406798,194.124403214693,0.715831420032998
BMS,-93.0396574706223,192.589953239117,0.343260258127998
BMS,-90.4734592327308,187.457556763334,0
BM1,-91.2914341972472,186.832868394494,1.07164039996599
OUMV,-89.5824986140561,190.498330561445,0
BMS,-92.1108992899171,190.732436877706,0
OUMV,-88.0773563867283,187.48804610679,0
OUMV,-90.0381464246632,191.40962618266,0.299350791769996
OUMV,-88.929576768314,189.192486869961,0.192334305845975
OUMV,-89.184839005002,189.703011343337,0.191062619907001
BMS,-89.2732710729056,185.057180443684,0
BMS,-91.6665540347419,189.843746367356,0
BM1,-90.9649725803861,186.179945160772,1.32165881264902
BMS,-88.6624831847809,183.835604667434,0
OUMV,-89.5126965258554,190.358726385044,0
BMS,-89.9925033375088,186.49564497289,0
