theta_1,se_1,alpha_1,sigma_sq_1,,,,,,,,
-0.138470282374009,0.203357155383483,0.27092511854379,0.398953623925174,NA,NA,NA,NA,NA,NA,NA,NA
-0.172330047236111,0.194092502303512,0.22375039538828,0.345293544430254,NA,NA,NA,NA,NA,NA,NA,NA
-0.992425289752311,0.286717913008578,-0.224594413668096,0.284344720309095,0.00334211588782305,0.201266722563414,1.32540048474663,1.93244108345632,1.32540048474663,1.93244108345632,1.32540048474663,1.93244108345632
-0.147687502760035,0.201083900979461,0.242506050284718,0.373162849057191,NA,NA,NA,NA,NA,NA,NA,NA
-0.169928975540638,0.20947379939544,0.0979865679616836,0.157163925436401,NA,NA,NA,NA,NA,NA,NA,NA
-0.123223279793972,0.190753697339787,0.185149381658211,0.266829581750615,NA,NA,NA,NA,NA,NA,NA,NA
-0.191135863180771,0.211905748830481,0.218249943679321,0.333130412414162,NA,NA,NA,NA,NA,NA,NA,NA
-0.132476300634344,0.213914157847842,0.165872497411126,0.268501201980632,NA,NA,NA,NA,NA,NA,NA,NA
-0.156332490041748,0.24246129028433,0.094810569203332,0.166990603738088,NA,NA,NA,NA,NA,NA,NA,NA
-0.195828995710984,0.187837453053316,0.278076331455199,0.434012862537677,NA,NA,NA,NA,NA,NA,NA,NA
-0.153256868353013,0.220260134724228,0.148499022830636,0.236985258965995,NA,NA,NA,NA,NA,NA,NA,NA
-0.186139524999129,0.200538015124785,0.188382845958826,0.275288411280886,NA,NA,NA,NA,NA,NA,NA,NA
-0.173018378162266,0.19568638866402,0.251882367503858,0.38870088575808,NA,NA,NA,NA,NA,NA,NA,NA
-0.100332692934545,0.403545905106108,-1.02304534226096e-10,4.11476804351919e-10,NA,0.134444122468832,NA,NA,NA,NA,NA,NA
-0.212822568607104,0.17932173643907,0.331866777576638,0.509174321739541,NA,NA,NA,NA,NA,NA,NA,NA
-0.218659526516683,0.189192696118097,0.255760948434288,0.39000995116966,NA,NA,NA,NA,NA,NA,NA,NA
-0.14224545753621,0.229451147739953,0.148052869044145,0.250982430954781,NA,NA,NA,NA,NA,NA,NA,NA
-0.148564636058624,0.236773399808022,0.156952998465206,0.260755357313062,NA,NA,NA,NA,NA,NA,NA,NA
-0.178251442321286,0.221912468423706,0.132965292074057,0.227905139985872,NA,NA,NA,NA,NA,NA,NA,NA
-0.111723228988176,0.36635244845267,-6.81476774584663e-11,2.23463542178093e-10,NA,0.18138789278275,NA,NA,NA,NA,NA,NA
-0.210181518321284,0.216829329017822,0.203600833481186,0.33971755026242,NA,NA,NA,NA,NA,NA,NA,NA
-0.192424153298101,0.216371228166417,0.186765828225776,0.298061816903757,NA,NA,NA,NA,NA,NA,NA,NA
