model,llik,aicc,delta_aicc
OU1,-54.3689842650316,115.248606827935,0.81418865376601
OU1,-57.4793807345189,121.46939976691,0
OUM,-61.4161453274139,134.165623988161,0
OU1,-55.4747914859696,117.460221269812,0
OU1,-54.856655598064,116.223949494,1.18321190660799
OU1,-55.612670989077,117.735980276026,0.802556278748995
OU1,-55.4007850469115,117.312208391695,0
OU1,-55.7592813804862,118.029201058845,0
OU1,-55.2619665594983,117.034571416869,0.280617235405998
OU1,-58.2334490528241,122.977536403521,1.301523578529
OU1,-54.1239438750867,114.758526048046,0
OU1,-54.8747831166112,116.260204531095,0
OU1,-57.5073674132949,121.525373124462,0
BM1,-56.2436627944538,116.737325588908,1.821472460628
OU1,-58.1770741094395,122.864786516751,0
OU1,-56.4356613812145,119.381961060301,0.759409722735001
OU1,-55.338503216646,117.187644731164,0.579861213328996
OU1,-54.0125014445541,114.535641186981,0.859971779793995
OU1,-54.3150436887718,115.140725675416,1.09720788106199
BM1,-54.5439560547188,113.337912109438,0
OU1,-56.9077527521663,120.326143802205,1.42234567356
OU1,-54.7334900609324,115.977618419737,0
OU1,-54.5953869909043,115.701412279681,0
OU1,-55.6333505487391,117.77733939535,0
OU1,-56.349480743725,119.209599785322,0
BM1,-54.8340049216047,113.918009843209,1.277018104877
BM1,-56.2485481451125,116.747096290225,0.631547861149002
BM1,-55.8470457602854,115.944091520571,0.986063648688003
OU1,-54.4446721645307,115.399982626934,0
OU1,-58.09743208412,122.705502466112,0.548811850383998
OU1,-56.3051415486979,119.120921395268,0.806011666763993
OU1,-54.6899712914502,115.890580880773,0
OU1,-58.6249739133566,123.760586124586,0
OU1,-56.0425284284814,118.595695154835,0
OU1,-55.7949518203844,118.100541938641,0
BM1,-53.5049351091786,111.259870218357,1.37941785476499
OU1,-53.8302128617237,114.17106402132,0
OU1,-57.041904546812,120.594447391496,0.591182460302008
OU1,-53.0604058516167,112.631450001106,0
BM1,-56.4473477335726,117.144695467145,0.372288254183999
OU1,-54.7492209641527,116.009080226178,0
OU1,-55.4115002466514,117.333638791175,0
OU1,-56.9818436983811,120.474325694634,1.26887015562201
OU1,-54.8804436963403,116.271525690553,0
OU1,-56.4590485931979,119.428735484268,0.366337610300008
BM1,-55.2690912923778,114.788182584756,0
OU1,-52.8117421860108,112.134122669894,0.459295108692999
OU1,-56.7282930956591,119.967224489191,1.367948882257
BM1,-55.8740700515647,115.998140103129,0.00472101747899956
OU1,-53.6397838639229,113.790206025718,0.861219715683006
OU1,-53.1198751389052,112.750388575683,0.374756990141009
OU1,-56.3754472932774,119.261532884427,1.10303207922
OU1,-54.190861450298,114.892361198468,0.666493436816992
OU1,-57.8092465692922,122.129131436457,0.373741486069008
BM1,-51.9166240672213,108.083248134443,0
OU1,-56.8755837652382,120.261805828349,0.28619043239199
OU1,-53.3041289281904,113.118896154253,0
OU1,-55.9691661926261,118.448970683125,0.124152726627003
OU1,-57.0748427517465,120.660323801365,0.948653062852998
OU1,-54.565458788131,115.641555874134,0.508399219747005
OU1,-56.2258214566552,118.962281211183,0.893618076115004
OU1,-53.4392814591542,113.389201216181,0.132989848209988
OU1,-57.1894587647112,120.889555827295,0
OUM,-55.887111789364,123.107556912061,0
OU1,-56.8055926215539,120.12182354098,0
OU1,-55.5003193683487,117.51127703457,0
OU1,-55.3294758627741,117.169590023421,0.115740496157997
OU1,-53.9570991307155,114.424836559303,0
OU1,-53.4833192245139,113.4772767469,0.250035043134005
OU1,-52.2529994054584,111.016637108789,0
OU1,-54.7677420027991,116.046122303471,0.431530117256997
OU1,-54.7903025495265,116.091243396925,0
OUM,-50.7345842858852,112.802501905104,0
OU1,-55.2433852296601,116.997408757193,0.0415217643570003
OU1,-54.7322628472361,115.975163992345,0
OU1,-54.1857849825315,114.882208262935,0
BM1,-55.2529673206555,114.755934641311,0.128502591482999
OU1,-56.0185777180819,118.547793734036,0
OUM,-56.3479285260649,124.029190385463,0
OU1,-55.3872491033484,117.285136504569,0
BM1,-53.7609809967406,111.771961993481,0.692553746562993
OU1,-54.9250984903229,116.360835278518,0.0707422151139951
OU1,-55.1903089976952,116.891256293263,0
OU1,-56.0180560051404,118.546750308153,0
OU1,-55.8651614766661,118.240961251205,0.424874929872999
BM1,-55.0620135431356,114.374027086271,0.0670892639749923
OU1,-54.6310592020791,115.772756702031,0
OU1,-56.2497344559296,119.010107209732,0
OU1,-53.1886354453719,112.887909188616,0
OU1,-56.1709655249267,118.852569347726,0
OU1,-52.7436618329365,111.997961963745,1.00122876682499
OU1,-56.2440258115315,118.998689920935,0
OU1,-53.6206194589715,113.751877215815,0.203007248084006
BM1,-54.7133472652166,113.676694530433,1.962109462271
OUM,-57.4077361010201,126.148805535374,0
OU1,-55.4212098543749,117.353058006622,0
OU1,-60.7354668571063,127.981572012085,0
OU1,-56.557098458766,119.624835215404,0
OU1,-59.1482424429945,124.807123183861,1.17261343710699
BM1,-54.7401825640459,113.730365128092,1.126941636978
