model,llik,aicc,delta_aicc
OUMVA,47.1443290752672,-80.3795672414436,0
OUMVA,51.1745549553522,-88.4400190016135,0
OUMV,44.8485136706302,-78.3636940079271,0.923734214529105
OUMVA,49.8224333455774,-85.7357757820638,0
OUMVA,47.9232927916766,-81.9374946742623,0
OUMV,46.0403826153134,-80.7474318972934,1.8262749534221
OUMVA,49.4371491487391,-84.9652073883872,0
OUMVA,48.5549380306309,-83.2007851521708,0
OUMVA,50.2680968482702,-86.6271027874494,0
OUMVA,48.074370503478,-82.2396500978652,0
BMS,45.9224388236296,-85.3342393493868,0.766240024895097
OUMV,46.8105045087606,-82.2876756841879,1.9381573923078
OUMVA,49.7278470903171,-85.5466032715434,0
BMS,45.7014895474481,-84.8923407970239,1.20282368798669
OUMV,44.7457998893445,-78.1582664453558,0.169283600149996
OUMVA,49.0890130590703,-84.2689352090497,0
OUMV,47.1245531984317,-82.9157730635301,0.791838116417097
OUMVA,47.5799317957259,-81.2507726823609,0
OUMVA,48.0260390912426,-82.1429872733943,0
OUMVA,48.0874739109687,-82.2658569128465,0
OUMVA,49.5114428130697,-85.1137947170485,0
OUMVA,47.7496605099308,-81.5902301107706,0
OUMVA,49.145645184272,-84.382199459453,0
OU1,45.1955779979327,-83.8805176979931,0.965561205893806
OUMVA,48.0088104573148,-82.1085300055388,0
OUMVA,48.4474831781,-82.9858754471091,0
OUMVA,49.8239133845075,-85.7387358599241,0
OU1,42.2345303258462,-77.9584223538201,0.678605939528296
OUMVA,49.6881615306944,-85.4672321522979,0
OUMVA,49.5050856026754,-85.1010802962599,0
OUMVA,48.0308553501888,-82.1526197912867,0
OU1,42.2395512182196,-77.9684641385668,1.47431678528339
OU1,42.1755964452734,-77.8405545926746,0
OUMVA,50.3306758605626,-86.7522608120344,0
OUMVA,48.5154832394436,-83.1218755697963,0
OUMVA,48.1614793492349,-82.413867789379,0
OUMVA,47.1924659965136,-80.4758410839363,0
OUMVA,47.4372594231424,-80.9654279371939,0
OUMVA,50.3953188958964,-86.881546882702,0
OUMVA,50.6069416097279,-87.3047923103649,0
OU1,46.1568698072698,-85.8031013166673,0
OUMVA,49.0852040389889,-84.261317168887,0
OUMVA,47.3440882721913,-80.7790856352916,0
OUMVA,50.6241726320534,-87.3392543550159,0
OUMVA,48.7967194056855,-83.6843479022802,0
OUMVA,48.6494279029542,-83.3897648968176,0
OUMVA,47.7309345398487,-81.5527781706065,0
OUMVA,48.6547101217541,-83.4003293344172,0
OUMVA,50.6631608981651,-87.4172308872393,0
BM1,46.2830558467757,-88.3161116935514,1.25350793023179
OUMVA,48.7260737918203,-83.5430566745496,0
OUMV,45.2068883102365,-79.0804432871398,1.74453367566819
BMS,45.473469979013,-84.4363016601536,0.842467941136491
OUMVA,49.7706188969425,-85.6321468847941,0
OUMVA,47.5982412520658,-81.2873915950407,0
OUMVA,49.0192471524475,-84.1294033958041,0
OUMV,47.2451591833415,-83.1569850333497,1.1586670001634
OUMVA,50.6722513927251,-87.4354118763594,0
OUMVA,50.2746566557718,-86.6402224024526,0
OUMVA,49.0285553652681,-84.1480198214454,0
OUMV,46.1511493237767,-80.9689653142202,1.2275017118414
OU1,42.2395836993718,-77.9685291008713,1.35321628345001
OUMVA,49.0747093633778,-84.2403278176646,0
OUMVA,48.9291169415453,-83.9491429739996,0
OUMVA,47.1990631507216,-80.4890353923523,0
OUMVA,49.7432598043078,-85.5774286995247,0
OU1,44.7647618113884,-83.0188853249045,0.652740885748301
OUMVA,49.3038703195445,-84.6986497299981,0
OU1,42.1976241060327,-77.884609914193,0
OUMVA,47.0261500807656,-80.1432092524402,0
OUMVA,49.2809523173526,-84.6528137256142,0
OUMVA,51.761141663594,-89.6131924180971,0
OUMV,47.5587298787596,-83.7841264241858,1.588641702543
OUMV,46.7872295970268,-82.2411258607202,0
BMS,46.2175765634014,-85.9245148289305,0.750266537501602
OUMVA,49.6438933127511,-85.3786957164113,0
OUMVA,49.297628201109,-84.6861654931271,0
OUMVA,49.0549291920443,-84.2007674749977,0
OUMVA,49.1065968785059,-84.3041028479209,0
OUMVA,51.309374044147,-88.7096571792031,0
OUMVA,49.6600073259951,-85.4109237428992,0
OU1,44.2800698951633,-82.0495014924542,1.8737995771549
OUMVA,49.3673984386103,-84.8257059681298,0
OUMVA,47.7685387472642,-81.6279865854375,0
OUMVA,49.3893433487048,-84.8695957883187,0
OUMVA,50.327938902966,-86.7467868968411,0
OUMVA,47.6329542128274,-81.356817516564,0
OUMV,46.5655734754295,-81.7978136175256,0.926350052384493
OU1,45.6798324880657,-84.849026678259,0.451270556978201
OUMVA,49.2710963827093,-84.6331018563276,0
OUMV,47.6288411321357,-83.9243489309381,1.6400583376592
OUMVA,49.1331250503407,-84.3571591915905,0
OUMVA,47.1936092801354,-80.4781276511798,0
OUMV,45.5960327496636,-79.858732165994,0
OUMV,47.1812570343017,-83.0291807352701,0.719311918101795
OUMVA,49.3477981423056,-84.7865053755203,0
OUMV,46.8271211724829,-82.3209090116324,1.85033922353581
OUMVA,49.4165596056013,-84.9240283021118,0
OUMVA,48.9863342754839,-84.063577641877,0
OUMVA,49.2006643717354,-84.4922378343798,0
