V1,V2
model,aicc
BM,189.861783131099
BM,187.710991687038
BM,185.410077887389
BM,189.669832756219
BM,188.74720915641
BM,186.187991599464
BM,187.022489592278
BM,187.847977577462
BM,187.595205100155
BM,188.789530624224
BM,188.154651663688
BM,189.870678911583
BM,189.001537409329
BM,188.095374145354
BM,187.721907331261
BM,190.021853472687
BM,188.590251662229
BM,188.538017001157
BM,185.797037645463
BM,188.976462302407
BM,187.234223264199
BM,190.458617001644
BM,187.727508016685
BM,188.236486600515
BM,190.007053001128
BM,188.029164359792
BM,189.136034635881
BM,187.846507959642
BM,189.731733838717
BM,189.961385626306
BM,187.801936624132
BM,187.923249505505
BM,189.175849525688
BM,188.323069340119
BM,180.971397418071
BM,186.752126207294
BM,189.370200898706
BM,189.576134915279
BM,188.458698944281
BM,184.341214496957
BM,188.817091254134
BM,188.045503355207
BM,188.408192418136
BM,189.854007160883
BM,184.104577036898
BM,189.18065201281
BM,189.46536099507
BM,188.02993164653
BM,183.204871678664
BM,188.615867591556
BM,190.516758322496
