theta_1,se_1,theta_2,se_2,theta_3,se_3,theta_4,se_4,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
-6.54972992885164,1.0345737266409,-6.14346810549801e-10,9.70401949614276e-11,-9.13068236257741e-10,1.44225245639743e-10,-2.58810218991756e-09,4.0880808165169e-10,NA,0.503769636536884,NA,0.722793787096016,NA,1.46181525939794
-6.42021567773171,1.11750478170901,-9.57369296547338e-10,1.66640004083324e-10,-1.02994002626828e-09,1.79271688367165e-10,-4.0035196441913e-09,6.96853901897327e-10,NA,0.271714688879115,NA,0.52505154923061,NA,1.08740468210677
-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864,0.255541689283516,1.90421646438919,-6.63486134473628,0.456832487533864
-6.63347452716146,0.968761535608238,-7.47792633537852e-10,1.09208641265809e-10,-8.00004777873466e-10,1.16833772999844e-10,-3.17677133830212e-09,4.63939955956492e-10,NA,0.361711140564377,NA,0.861023273949336,NA,1.14989328162922
-6.70613504349672,0.712893778917565,-8.10641590339172e-09,8.6175023756054e-10,NA,0.408853849293207,-6.70613504349672,0.712893778917565,-8.10641590339172e-09,8.6175023756054e-10,NA,0.408853849293207,-6.70613504349672,0.712893778917565
-4.36611089026129,2.28727082380908,0,0,-6.85107174347034,1.08924795706557,0.0674833921167126,0.386469707127506,6.15289002592773e-18,0.00464222973339876,1.15496296658413e-08,1,-4.36611089026129,2.28727082380908
-6.44068819014006,0.893700506346007,-7.1011264044586e-10,9.85341950416496e-11,-9.35881436094666e-10,1.29861544081265e-10,-3.05516524565791e-09,4.23930276766894e-10,NA,0.506811032365333,NA,0.000524894850007091,NA,0.986427394658082
-6.71594424044533,0.857749140684911,-7.44330762221558e-10,9.50646772550557e-11,-1.34734005196219e-09,1.72080012937137e-10,-3.21090283292591e-09,4.10091127496066e-10,NA,0.317230159554131,NA,0.275888459560532,NA,1.06206903316642
-6.14328212514601,0.923990210350837,-1.24528723676036e-10,1.87299426007522e-11,-2.73637572802196e-09,4.1156898430296e-10,-3.7083170822134e-09,5.57755384017972e-10,NA,0.308951201752126,NA,0.000760234851387211,NA,0.767724626913828
-6.62148281730571,0.731251491256491,-4.52196619119879e-09,4.99388824521794e-10,NA,0.712113846853027,-6.62148281730571,0.731251491256491,-4.52196619119879e-09,4.99388824521794e-10,NA,0.712113846853027,-6.62148281730571,0.731251491256491
-6.3826395904344,0.889381924757235,-1.03885977566143e-09,1.447587778911e-10,-1.0700909171101e-09,1.49110647098255e-10,-3.21478567731336e-09,4.47960790024234e-10,NA,0.387842364745069,NA,6.73506610164994e-16,NA,1.00086301537483
