model,llik,aicc,delta_aicc
BMS,-92.1984656354902,193.266496488372,1.44118788095102
BMS,-93.3301907932783,195.529946803948,1.20222153260201
OU1,-92.9378793064892,192.386396910851,0
BMS,-91.7782526701316,192.426070557654,1.27264662315599
BM1,-93.0344190441178,190.318838088236,0
OUMVA,-69.8812329596213,162.152709821682,0
BMS,-82.6523141067234,174.174193430838,0
BMS,-90.093082003318,189.055729224027,0
BMS,-86.1537476830796,181.177060583551,0
BM1,-91.2024590475445,186.654918095089,1.053291757387
BMS,-88.3119096522524,185.493384521896,0
BMS,-91.503357587615,191.876280392621,0
BMS,-89.857840353511,188.585245924413,0
BM1,-94.5303347194648,193.31066943893,1.14487381030202
BMS,-92.0768800435744,193.02332530454,0.308176767125019
BMS,-95.3408699503448,199.551305118081,1.32481379757198
OU1,-94.9305881208857,196.371814539644,0
BMS,-89.6058136902219,188.081192597835,0
BM1,-92.2159267395827,188.681853479165,0
OU1,-96.5172808015335,199.545199900939,0.182118548594985
BMS,-86.7487628240115,182.367090865414,0
BM1,-93.0129168897252,190.27583377945,0.591181189758004
BM1,-91.3378847468587,186.925769493717,0
BM1,-92.6256280113219,189.501256022644,0
BMS,-92.7994315991011,194.468428415594,0.84896998265998
OUMV,-86.2774024916397,189.15945614607,0
BMS,-92.4454541380518,193.760473493495,0.67062129496901
OUMVA,-83.5512708615283,189.492785625496,0
OU1,-94.9902400963388,196.49111849055,1.029938239986
OUMVA,-52.6203529475121,127.630949797463,0
BM1,-94.8852493126311,194.020498625262,0.967878189937011
BMS,-91.9042655943808,192.678096406153,1.842261296684
BMS,-91.9367811806211,192.743127578633,1.73974530099301
BMS,-88.4194147388801,185.708394695152,0
BMS,-90.8039621571771,190.477489531746,0
BMS,-90.8358919976667,190.541349212725,0
BMS,-90.1527002534789,189.174965724349,0
BMS,-92.2442316396926,193.358028496776,0
OU1,-95.3160856223045,197.142809542481,0
BMS,-91.0321508520854,190.933866921562,1.51579218560798
OUMV,-86.6610154363486,189.926682035488,0
BMS,-84.69050495662,178.250575130631,0
OU1,-95.2610653876412,197.032769073155,0
BMS,-88.7459209095367,186.361407036465,0
BMS,-90.9982634167868,190.866092050965,0
BMS,-87.0110400531337,182.891645323659,0
BM1,-91.0999781655865,186.449956331173,0
BMS,-91.633345056175,192.136255329741,1.75890405241302
BMS,-93.128654148743,195.126873514877,0
BMS,-84.0338826200081,176.937330457408,0
BM1,-91.424945292358,187.099890584716,0.0156973077340012
BMS,-91.3818769609554,191.633319139302,0
BM1,-92.9578137924458,190.165627584892,0.145424124506008
OUMVA,-68.4240785264471,159.238400955333,0
BMS,-91.6640251362231,192.197615489838,0
BM1,-91.613580886544,187.477161773088,0
BM1,-92.9005919199926,190.051183839985,0
OU1,-92.6495410158722,191.809720329617,0.194331368261004
OUMV,-89.2305544864755,195.065760135742,0
BMS,-89.9862008062795,188.84196682995,0
BMS,-88.2795075684545,185.4285803543,0.512119240521997
BMS,-85.1663180762625,179.202201369916,0
BM1,-94.082964277264,192.415928554528,0.991457485612983
OU1,-94.7710685796885,196.052775457249,0
BMS,-91.4764479149217,191.822461047235,0
BM1,-95.5154107351252,195.28082147025,1.96927500302201
BMS,-92.1053223797379,193.080209976867,0
BMS,-92.4581774869862,193.785920191364,0.950681768288007
OU1,-96.9812532274736,200.47314475282,0
BMS,-85.3221559559857,179.513877129363,0
BMS,-91.3566899702561,191.582945157904,0
BMS,-91.9184009046244,192.70636702664,1.53167984396302
BMS,-86.1632518522089,181.196068921809,0
BM1,-95.277025008273,194.804050016546,1.58831641603101
OUMV,-88.6538561373255,193.912363437442,0
BMS,-90.9807733924437,190.831112002279,0.00903930820800269
BMS,-84.1155983257748,177.100761868941,0
BM1,-91.2756912196466,186.801382439293,0
BM1,-92.3552199665381,188.960439933076,0.792474540976997
BMS,-91.5497899205395,191.96914505847,0
BM1,-88.7317622063739,181.713524412748,0
OUMV,-86.0534109481941,188.711473059179,0
BMS,-91.7645589176263,192.398683052644,0.929256844509013
BM1,-89.4207744735895,183.091548947179,1.66517227043499
OU1,-96.129275843108,198.769189984088,1.04515039713999
BM1,-95.0405151643421,194.331030328684,0.702635389589005
OUMV,-83.8216419674232,184.247935097637,0
OU1,-89.8193543281467,186.149346954166,1.967301514084
OU1,-95.0394959797723,196.589630257417,0
BMS,-86.1980134313867,181.265592080165,0
OU1,-91.5196880868923,189.550014471657,0
OU1,-93.0944017151309,192.699441728134,0
BM1,-93.5283747245057,191.306749449011,0.553159332001002
BM1,-94.8709955082702,193.99199101654,1.66682477385501
BM1,-90.3762686249201,185.00253724984,0.638367043836013
OUMVA,-66.9916333347227,156.373510571884,0
BMS,-84.8742867619299,178.618138741251,0
BM1,-90.6522991793313,185.554598358663,1.35598293484298
BMS,-92.9754250572129,194.820415331817,0.103008668475013
BMS,-91.3763378796241,191.62224097664,0.336657381710012
